2015-07-04-23 13 22.531	-2.9682922 0.5402374 10.837982
2015-07-04-23 13 22.536	-2.9718628 0.42478943 11.698486
2015-07-04-23 13 22.542	-3.011139 0.1962738 12.722046
2015-07-04-23 13 22.546	-2.7945251 -0.035812378 13.689667
2015-07-04-23 13 22.551	-2.4458008 -0.14530945 14.460907
2015-07-04-23 13 22.557	-2.05542 -0.26908875 15.128601
2015-07-04-23 13 22.562	-1.5852966 -0.31550598 15.716553
2015-07-04-23 13 22.567	-1.09375 -0.39762878 15.993866
2015-07-04-23 13 22.571	-0.4260559 -0.3047943 16.122406
2015-07-04-23 13 22.577	0.040496826 -0.15483093 15.931976
2015-07-04-23 13 22.582	0.40945435 -0.05366516 15.473755
2015-07-04-23 13 22.586	0.4213562 0.011795044 14.678711
2015-07-04-23 13 22.592	0.43920898 0.10939026 13.717041
2015-07-04-23 13 22.597	0.50823975 0.3283844 12.844635
2015-07-04-23 13 22.602	0.6284485 0.5818939 12.0781555
2015-07-04-23 13 22.607	0.71533203 0.9115753 11.118866
2015-07-04-23 13 22.612	0.7248535 1.0627289 10.241699
2015-07-04-23 13 22.617	0.5130005 1.4495392 9.34668
2015-07-04-23 13 22.622	0.09762573 1.7577972 8.953918
2015-07-04-23 13 22.627	-0.23443604 1.9494171 8.45166
2015-07-04-23 13 22.632	-0.56292725 2.1041412 8.2100525
2015-07-04-23 13 22.637	-0.77835083 2.0672455 8.1267395
2015-07-04-23 13 22.642	-1.0211487 1.9756012 8.111267
2015-07-04-23 13 22.647	-1.241333 1.7958832 8.395721
2015-07-04-23 13 22.652	-1.5472107 1.6613922 9.095551
2015-07-04-23 13 22.657	-1.6340942 1.7482758 10.164337
2015-07-04-23 13 22.663	-1.8328552 1.5995026 11.927002
2015-07-04-23 13 22.667	-2.0935059 1.4376373 13.719421
2015-07-04-23 13 22.672	-2.3720093 1.3757477 15.518982
2015-07-04-23 13 22.677	-2.8933105 1.3102875 17.057892
2015-07-04-23 13 22.683	-3.2241821 1.2186432 18.0755
2015-07-04-23 13 22.687	-3.4062805 1.0710602 18.32782
2015-07-04-23 13 22.692	-3.538391 0.986557 17.762482
2015-07-04-23 13 22.698	-3.5836182 0.986557 16.686554
2015-07-04-23 13 22.703	-3.447937 1.1448517 15.117889
2015-07-04-23 13 22.707	-3.2099 1.2948151 13.255249
2015-07-04-23 13 22.713	-2.95401 1.4007416 11.454498
2015-07-04-23 13 22.720	-2.3874817 1.5971222 8.822998
2015-07-04-23 13 22.724	-2.3874817 1.5971222 8.822998
2015-07-04-23 13 22.727	-2.2268066 1.6054535 7.8898926
2015-07-04-23 13 22.733	-1.9459229 1.6221161 7.194824
2015-07-04-23 13 22.738	-1.786438 1.7708893 6.648529
2015-07-04-23 13 22.743	-1.4996033 1.813736 6.2022095
2015-07-04-23 13 22.748	-1.1972961 1.7554169 5.8558655
