2015-07-02-19 56 26.497	-0.2296753 0.5188141 10.415466
2015-07-02-19 56 26.501	-0.12731934 0.5342865 10.603516
2015-07-02-19 56 26.506	-0.008300781 0.57118225 10.818939
2015-07-02-19 56 26.511	0.3059082 0.67115784 10.933197
2015-07-02-19 56 26.517	0.3059082 0.67115784 10.933197
2015-07-02-19 56 26.521	0.6522522 0.7140045 11.149811
2015-07-02-19 56 26.526	0.91290283 0.61402893 11.2724
2015-07-02-19 56 26.532	1.1437988 0.47834778 11.315247
2015-07-02-19 56 26.537	1.3913574 0.26768494 11.485443
2015-07-02-19 56 26.541	1.510376 0.091537476 11.774658
2015-07-02-19 56 26.546	1.6103516 -0.12864685 11.993652
2015-07-02-19 56 26.552	1.5639343 -0.32859802 12.162659
2015-07-02-19 56 26.557	1.3354187 -0.4380951 12.407837
2015-07-02-19 56 26.562	1.0842896 -0.46903992 12.629211
2015-07-02-19 56 26.567	0.82839966 -0.40953064 12.852966
2015-07-02-19 56 26.572	0.47372437 -0.32383728 12.949371
2015-07-02-19 56 26.577	0.22973633 -0.16316223 13.0017395
2015-07-02-19 56 26.582	0.08572388 0.011795044 13.06958
2015-07-02-19 56 26.587	0.01550293 0.09867859 13.108856
2015-07-02-19 56 26.592	-0.00592041 0.1474762 13.230255
2015-07-02-19 56 26.598	0.09524536 0.18199158 13.338562
2015-07-02-19 56 26.603	0.1904602 0.123672485 13.533752
2015-07-02-19 56 26.607	0.28448486 0.10462952 13.58136
2015-07-02-19 56 26.612	0.2821045 0.16889954 13.659912
2015-07-02-19 56 26.618	0.21783447 0.19151306 13.590881
2015-07-02-19 56 26.622	0.06430054 0.1796112 13.411163
2015-07-02-19 56 26.627	-0.09161377 -0.045333862 13.301666
2015-07-02-19 56 26.632	-0.2939453 -0.5547333 13.096954
2015-07-02-19 56 26.638	-0.8557129 -0.46903992 13.276672
2015-07-02-19 56 26.642	-1.5448303 0.15104675 13.38736
2015-07-02-19 56 26.648	-2.1661072 0.53785706 13.356415
2015-07-02-19 56 26.653	-2.3672485 0.7151947 13.246918
2015-07-02-19 56 26.658	-2.2970276 0.75090027 12.914856
2015-07-02-19 56 26.662	-2.2529907 0.7223358 12.625641
2015-07-02-19 56 26.667	-2.2922668 0.58665466 12.326904
2015-07-02-19 56 26.673	-2.395813 0.31529236 11.97818
2015-07-02-19 56 26.678	-2.4517517 0.16532898 11.602081
2015-07-02-19 56 26.683	-2.4553223 -0.035812378 11.236694
2015-07-02-19 56 26.687	-2.5314941 -0.20362854 10.904633
2015-07-02-19 56 26.693	-2.5481567 -0.30836487 10.539246
2015-07-02-19 56 26.698	-2.5457764 -0.5047455 10.208374
2015-07-02-19 56 26.703	-2.549347 -0.5178375 9.769196
2015-07-02-19 56 26.708	-2.485077 -0.6416168 9.418091
2015-07-02-19 56 26.713	-2.4112854 -0.6451874 9.0896
2015-07-02-19 56 26.718	-2.331543 -0.5713959 8.694458
2015-07-02-19 56 26.723	-2.189911 -0.51426697 8.283844
2015-07-02-19 56 26.728	-2.0899353 -0.45951843 8.024384
2015-07-02-19 56 26.733	-1.9899597 -0.2821808 7.7875366
2015-07-02-19 56 26.738	-1.8150024 -0.08937073 7.674469
2015-07-02-19 56 26.743	-1.6555176 0.19151306 7.5506897
2015-07-02-19 56 26.748	-1.5019836 0.4593048 7.5828247
2015-07-02-19 56 26.755	-1.4412842 0.7223358 7.557831
2015-07-02-19 56 26.759	-1.4091492 0.99250793 7.660187
2015-07-02-19 56 26.763	-1.2532349 1.2388763 7.7946777
2015-07-02-19 56 26.768	-1.2032471 1.4066925 8.041046
2015-07-02-19 56 26.773	-1.1294556 1.429306 8.230286
2015-07-02-19 56 26.779	-0.9437866 1.4126434 8.368347
2015-07-02-19 56 26.783	-0.72717285 1.2829132 8.570679
2015-07-02-19 56 26.788	-0.5581665 1.2210236 8.869415
2015-07-02-19 56 26.793	-0.45462036 1.0651093 9.034851
2015-07-02-19 56 26.799	-0.2796631 0.9889374 9.28598
2015-07-02-19 56 26.803	-0.18325806 0.8449249 9.352631
2015-07-02-19 56 26.808	-0.12374878 0.7711334 9.404999
2015-07-02-19 56 26.814	-0.15945435 0.66996765 9.293121
2015-07-02-19 56 26.819	-0.095184326 0.52238464 9.270508
2015-07-02-19 56 26.823	-0.116607666 0.3367157 9.186005
2015-07-02-19 56 26.828	-0.04876709 0.14033508 9.012238
2015-07-02-19 56 26.834	-0.036865234 0.030838013 9.005096
2015-07-02-19 56 26.839	-0.105895996 -0.1822052 8.858704
2015-07-02-19 56 26.844	-0.56292725 -0.57377625 9.1979065
2015-07-02-19 56 26.849	-0.66290283 -0.5368805 9.249084
2015-07-02-19 56 26.854	-0.58078 -0.48451233 8.953918
2015-07-02-19 56 26.859	-0.43200684 -0.41786194 8.648041
2015-07-02-19 56 26.864	-0.5069885 -0.3809662 8.617096
2015-07-02-19 56 26.869	-0.62719727 -0.41429138 8.714691
2015-07-02-19 56 26.874	-0.7319336 -0.296463 8.70993
2015-07-02-19 56 26.879	-0.7295532 -0.1905365 8.750397
2015-07-02-19 56 26.884	-0.74264526 -0.106033325 8.676605
