2015-06-23-15 11 52.423	1.5698853 0.9389496 9.406189
2015-06-23-15 11 52.428	1.5091858 0.8818207 9.85965
2015-06-23-15 11 52.433	1.5008545 0.8211212 10.139343
2015-06-23-15 11 52.438	1.362793 0.7830353 10.278595
2015-06-23-15 11 52.443	1.2949524 0.70210266 10.320251
2015-06-23-15 11 52.450	1.1723633 0.6842499 10.225037
2015-06-23-15 11 52.454	1.1366577 0.67710876 10.2178955
2015-06-23-15 11 52.458	1.0700073 0.75328064 10.165527
2015-06-23-15 11 52.463	1.099762 0.7735138 10.1203
2015-06-23-15 11 52.468	1.0128784 0.8544464 9.967957
2015-06-23-15 11 52.474	0.9390869 0.88539124 9.821564
2015-06-23-15 11 52.478	0.9176636 0.8984833 9.696594
2015-06-23-15 11 52.483	0.8319702 0.9068146 9.754913
2015-06-23-15 11 52.488	0.7522278 0.9234772 9.631134
2015-06-23-15 11 52.494	0.6939087 0.9782257 9.515686
2015-06-23-15 11 52.498	0.49990845 1.0817719 9.381195
2015-06-23-15 11 52.503	0.34280396 1.1246185 9.247894
2015-06-23-15 11 52.509	0.027404785 1.2198334 9.128876
2015-06-23-15 11 52.514	-0.20587158 1.1746063 8.945587
2015-06-23-15 11 52.518	-0.4689026 1.2864838 8.801575
2015-06-23-15 11 52.523	-0.70336914 1.2602997 8.817047
2015-06-23-15 11 52.529	-0.9925842 1.26268 8.822998
2015-06-23-15 11 52.534	-1.3960571 1.2115021 8.912262
2015-06-23-15 11 52.539	-1.7959595 1.1305695 9.095551
2015-06-23-15 11 52.544	-2.325592 1.0996246 9.250275
2015-06-23-15 11 52.549	-2.6481323 1.0294037 9.457367
2015-06-23-15 11 52.554	-2.7528687 0.9449005 9.831085
2015-06-23-15 11 52.559	-2.8468933 0.838974 10.251221
2015-06-23-15 11 52.564	-2.8397522 0.6925812 10.559479
2015-06-23-15 11 52.569	-2.44104 0.6675873 11.297394
2015-06-23-15 11 52.574	-2.2339478 0.6306915 11.867493
2015-06-23-15 11 52.579	-1.9625854 0.6164093 12.322144
2015-06-23-15 11 52.584	-1.6745605 0.6330719 12.741089
2015-06-23-15 11 52.589	-1.4865112 0.6330719 12.995789
2015-06-23-15 11 52.595	-1.4234314 0.6985321 13.074341
2015-06-23-15 11 52.600	-1.440094 0.67115784 13.095764
2015-06-23-15 11 52.604	-1.5210266 0.78660583 12.773224
2015-06-23-15 11 52.609	-1.5924377 0.94847107 12.466156
2015-06-23-15 11 52.615	-1.7412109 1.1281891 11.843689
2015-06-23-15 11 52.619	-2.0328064 1.3674164 11.429504
2015-06-23-15 11 52.624	-2.254181 1.4852448 11.029602
2015-06-23-15 11 52.629	-2.4505615 1.6221161 10.773712
2015-06-23-15 11 52.635	-2.56958 1.6613922 10.57019
2015-06-23-15 11 52.639	-2.6540833 1.6816254 10.50116
2015-06-23-15 11 52.645	-2.582672 1.7042389 10.595184
2015-06-23-15 11 52.650	-2.3660583 1.5411835 10.715393
2015-06-23-15 11 52.655	-2.254181 1.4316864 10.796326
2015-06-23-15 11 52.659	-2.0268555 1.2567291 11.074829
2015-06-23-15 11 52.664	-1.8661804 1.1508026 11.316437
