2015-06-25-17 52 55.916	-0.5426941 2.3159943 5.134613
2015-06-25-17 52 55.922	-0.27252197 2.4921417 5.3417053
2015-06-25-17 52 55.926	0.0262146 2.640915 5.513092
2015-06-25-17 52 55.932	0.34994507 2.7920685 5.7035217
2015-06-25-17 52 55.937	0.50109863 2.8801422 5.788025
2015-06-25-17 52 55.942	0.6451111 2.9015656 6.0165405
2015-06-25-17 52 55.947	0.79745483 2.9955902 6.2462463
2015-06-25-17 52 55.952	0.9152832 3.064621 6.448578
2015-06-25-17 52 55.957	0.9152832 3.161026 6.730652
2015-06-25-17 52 55.962	0.8093567 3.2681427 7.0246277
2015-06-25-17 52 55.967	0.6927185 3.308609 7.443573
2015-06-25-17 52 55.972	0.54989624 3.3693085 7.789917
2015-06-25-17 52 55.977	0.43325806 3.4716644 8.157684
2015-06-25-17 52 55.982	0.2821045 3.5418854 8.370728
2015-06-25-17 52 55.988	0.1749878 3.6275787 8.431427
2015-06-25-17 52 55.992	0.061920166 3.6977997 8.698029
2015-06-25-17 52 55.997	-0.047576904 3.654953 8.921783
2015-06-25-17 52 56.002	-0.19396973 3.7049408 9.051514
2015-06-25-17 52 56.007	-0.33798218 3.8227692 9.384766
2015-06-25-17 52 56.012	-0.48675537 3.9477386 9.6716
2015-06-25-17 52 56.017	-0.60220337 4.072708 9.813232
2015-06-25-17 52 56.023	-0.7164612 4.1905365 10.159576
2015-06-25-17 52 56.027	-0.81881714 4.2559967 10.305969
2015-06-25-17 52 56.033	-0.85809326 4.2559967 10.427368
2015-06-25-17 52 56.038	-0.8902283 4.3047943 10.584473
2015-06-25-17 52 56.043	-0.8854675 4.359543 10.622559
2015-06-25-17 52 56.047	-0.85214233 4.445236 10.683258
2015-06-25-17 52 56.052	-0.79977417 4.584488 10.621368
2015-06-25-17 52 56.057	-0.9021301 4.59639 10.7439575
2015-06-25-17 52 56.063	-1.0639954 4.5999603 10.947479
2015-06-25-17 52 56.067	-1.1032715 4.584488 11.183136
2015-06-25-17 52 56.073	-1.023529 4.5749664 11.580658
2015-06-25-17 52 56.078	-1.0259094 4.451187 12.068634
2015-06-25-17 52 56.083	-0.978302 4.333359 12.439972
2015-06-25-17 52 56.088	-0.6878967 4.206009 12.838684
2015-06-25-17 52 56.093	-0.43676758 4.0298615 13.248108
2015-06-25-17 52 56.098	-0.0071105957 4.1274567 13.539703
2015-06-25-17 52 56.104	0.49395752 4.251236 13.962219
2015-06-25-17 52 56.108	0.9486084 4.438095 14.253815
2015-06-25-17 52 56.113	1.1687927 4.3821564 14.522797
2015-06-25-17 52 56.118	0.9581299 4.1453094 14.885803
2015-06-25-17 52 56.123	1.15094 4.3702545 14.767975
2015-06-25-17 52 56.128	1.5198975 4.8582306 14.202637
2015-06-25-17 52 56.133	1.4353943 4.765396 13.129089
2015-06-25-17 52 56.140	1.0188293 4.2881317 12.181702
2015-06-25-17 52 56.144	0.5427551 3.8715668 11.59256
2015-06-25-17 52 56.148	0.07501221 3.5954437 11.4045105
2015-06-25-17 52 56.153	-0.41296387 3.31456 11.5271
2015-06-25-17 52 56.158	-0.6676636 3.0229645 12.118622
2015-06-25-17 52 56.164	-0.76049805 2.6171112 12.5911255
2015-06-25-17 52 56.168	-0.78549194 2.1243744 13.282623
2015-06-25-17 52 56.173	-0.67837524 1.5471344 13.849152
2015-06-25-17 52 56.179	-0.31417847 1.0960541 14.193115
2015-06-25-17 52 56.184	0.08810425 0.54737854 14.466858
2015-06-25-17 52 56.189	0.5439453 0.23912048 14.508514
2015-06-25-17 52 56.193	0.95336914 0.09272766 14.357361
2015-06-25-17 52 56.198	1.529419 0.07368469 14.076477
2015-06-25-17 52 56.204	1.9447937 0.14866638 13.481384
2015-06-25-17 52 56.208	2.3732605 0.261734 12.593506
2015-06-25-17 52 56.214	2.671997 0.17842102 11.680634
2015-06-25-17 52 56.219	2.7826843 0.15461731 10.710632
2015-06-25-17 52 56.224	2.7469788 0.20341492 9.819183
2015-06-25-17 52 56.229	2.6874695 0.34742737 8.986053
2015-06-25-17 52 56.234	2.4553833 0.52952576 8.339783
2015-06-25-17 52 56.239	2.280426 0.76042175 7.764923
2015-06-25-17 52 56.244	2.0269165 0.8889618 7.397156
2015-06-25-17 52 56.249	1.7876892 1.050827 7.110321
2015-06-25-17 52 56.254	1.555603 1.0746307 6.885376
2015-06-25-17 52 56.259	1.2580566 1.0579681 6.6330566
2015-06-25-17 52 56.264	0.9747925 1.0674896 6.531891
2015-06-25-17 52 56.269	0.51776123 0.99964905 6.455719
2015-06-25-17 52 56.274	0.1821289 0.9306183 6.512848
2015-06-25-17 52 56.279	-0.221344 0.8449249 6.816345
2015-06-25-17 52 56.285	-0.45819092 0.8235016 7.097229
2015-06-25-17 52 56.290	-0.6224365 0.7473297 7.4221497
2015-06-25-17 52 56.294	-0.5938721 0.7473297 7.6958923
2015-06-25-17 52 56.299	-0.3356018 0.98417664 7.995819
2015-06-25-17 52 56.305	0.07382202 1.3269501 8.074371
2015-06-25-17 52 56.309	0.040496826 1.1710358 8.077942
2015-06-25-17 52 56.314	-0.19158936 0.7663727 8.6409
2015-06-25-17 52 56.319	-0.42248535 0.35456848 9.199097
2015-06-25-17 52 56.325	-0.47842407 0.10105896 9.526398
2015-06-25-17 52 56.329	-0.22729492 0.14271545 10.061981
2015-06-25-17 52 56.335	-0.14755249 0.2462616 10.430939
2015-06-25-17 52 56.340	-0.11303711 0.29862976 10.452362
