2015-07-01-16 00 10.668	1.0592957 1.1603241 7.725647
2015-07-01-16 00 10.673	0.8188782 1.1734161 7.898224
2015-07-01-16 00 10.678	0.5713196 1.0817719 8.06842
2015-07-01-16 00 10.683	0.3630371 0.90086365 8.264801
2015-07-01-16 00 10.688	0.22497559 0.806839 8.521881
2015-07-01-16 00 10.693	0.08572388 0.6318817 8.540924
2015-07-01-16 00 10.698	-0.084472656 0.524765 8.607574
2015-07-01-16 00 10.703	-0.22729492 0.48072815 8.459991
2015-07-01-16 00 10.708	-0.3451233 0.43788147 8.243378
2015-07-01-16 00 10.713	-0.3439331 0.53785706 7.868469
2015-07-01-16 00 10.718	-0.3701172 0.6985321 7.6066284
2015-07-01-16 00 10.724	-0.45462036 0.8961029 7.2852783
2015-07-01-16 00 10.728	-0.4355774 1.0496368 6.942505
2015-07-01-16 00 10.733	-0.29275513 1.147232 6.6009216
2015-07-01-16 00 10.741	-0.06304932 1.4650116 6.147461
2015-07-01-16 00 10.745	0.02859497 1.6518707 6.0748596
2015-07-01-16 00 10.748	0.02859497 1.6518707 6.0748596
2015-07-01-16 00 10.753	0.11785889 1.7447052 5.8677673
2015-07-01-16 00 10.759	0.030975342 1.8387299 5.69162
2015-07-01-16 00 10.764	0.013122559 1.8899078 5.6559143
2015-07-01-16 00 10.768	-0.032104492 1.8363495 5.6249695
2015-07-01-16 00 10.773	-0.06781006 1.8696747 5.6642456
2015-07-01-16 00 10.779	-0.5903015 1.8637238 5.916565
2015-07-01-16 00 10.784	-0.5903015 1.8637238 5.916565
2015-07-01-16 00 10.789	-0.7045593 1.7911224 6.0617676
2015-07-01-16 00 10.794	-1.0223389 1.7232819 6.3319397
2015-07-01-16 00 10.799	-1.4162903 1.628067 7.047241
2015-07-01-16 00 10.804	-1.5412598 1.5864105 7.3328857
2015-07-01-16 00 10.809	-1.5948181 1.4709625 7.6530457
2015-07-01-16 00 10.814	-1.5495911 1.3757477 7.9327393
2015-07-01-16 00 10.819	-1.4781799 1.3233795 8.212433
2015-07-01-16 00 10.825	-1.2449036 1.236496 8.401672
2015-07-01-16 00 10.829	-0.96520996 1.1496124 8.678986
2015-07-01-16 00 10.834	-0.7962036 1.0901031 9.041992
2015-07-01-16 00 10.839	-0.4689026 1.0353546 9.214569
2015-07-01-16 00 10.845	0.032165527 1.0662994 9.531158
2015-07-01-16 00 10.849	0.5022888 0.9698944 9.456177
2015-07-01-16 00 10.854	1.1354675 0.97465515 9.5442505
2015-07-01-16 00 10.859	1.5960693 0.99964905 9.609711
2015-07-01-16 00 10.865	2.061432 1.0484467 9.664459
2015-07-01-16 00 10.869	2.453003 1.1650848 9.996521
2015-07-01-16 00 10.874	2.7814941 1.236496 10.339294
2015-07-01-16 00 10.879	2.9314575 1.3293304 10.666595
2015-07-01-16 00 10.885	2.9909668 1.3721771 11.214081
2015-07-01-16 00 10.891	3.3301697 0.9532318 11.255737
2015-07-01-16 00 10.894	3.5384521 0.5426178 11.167664
2015-07-01-16 00 10.900	3.3242188 0.24388123 11.218842
2015-07-01-16 00 10.905	3.133789 0.1879425 11.387848
2015-07-01-16 00 10.909	2.8731384 0.18913269 11.615173
2015-07-01-16 00 10.914	2.5577393 0.028457642 11.85202
2015-07-01-16 00 10.920	2.3518372 -0.06199646 12.199554
2015-07-01-16 00 10.925	2.1530762 -0.082229614 12.438782
2015-07-01-16 00 10.930	2.126892 -0.12031555 12.600647
2015-07-01-16 00 10.935	2.0411987 -0.07627869 12.575653
2015-07-01-16 00 10.940	1.9138489 -0.060806274 12.587555
2015-07-01-16 00 10.945	1.9090881 0.033218384 12.470917
2015-07-01-16 00 10.950	2.0995178 0.1712799 12.128143
2015-07-01-16 00 10.955	2.473236 0.4676361 11.677063
2015-07-01-16 00 10.960	2.7779236 0.8806305 10.930817
2015-07-01-16 00 10.965	3.1730652 1.3757477 10.163147
2015-07-01-16 00 10.970	3.5063171 1.7637482 9.407379
2015-07-01-16 00 10.975	3.7276917 1.9886932 8.70755
2015-07-01-16 00 10.980	3.870514 2.03273 8.362396
2015-07-01-16 00 10.986	3.8098145 1.8887177 8.137451
2015-07-01-16 00 10.990	3.595581 1.5887909 8.561157
2015-07-01-16 00 10.995	3.3492126 1.1067657 8.986053
2015-07-01-16 00 11.000	3.2456665 0.39622498 9.427612
2015-07-01-16 00 11.006	3.1230774 -0.27980042 10.004852
2015-07-01-16 00 11.010	2.954071 -0.7939606 10.660645
2015-07-01-16 00 11.015	2.844574 -1.1200714 11.509247
2015-07-01-16 00 11.021	2.8612366 -1.5080719 12.451874
2015-07-01-16 00 11.026	2.825531 -1.848465 13.32428
2015-07-01-16 00 11.030	2.8338623 -2.1210175 14.071716
2015-07-01-16 00 11.035	2.652954 -2.3661957 14.713226
2015-07-01-16 00 11.043	2.600586 -2.6518402 15.160736
2015-07-01-16 00 11.047	2.5089417 -2.810135 15.4713745
2015-07-01-16 00 11.050	2.4565735 -2.7994232 15.555878
2015-07-01-16 00 11.055	2.157837 -2.7649078 15.444
2015-07-01-16 00 11.061	1.9590759 -2.5340118 15.18692
2015-07-01-16 00 11.066	1.7234192 -2.3221588 14.616821
2015-07-01-16 00 11.071	1.4615784 -2.034134 14.077667
2015-07-01-16 00 11.076	1.27948 -1.7603912 13.449249
2015-07-01-16 00 11.081	0.997406 -1.4223785 12.774414
2015-07-01-16 00 11.087	0.8426819 -1.1403046 12.203125
2015-07-01-16 00 11.091	0.7093811 -0.8760834 11.613983
2015-07-01-16 00 11.098	0.5463257 -0.62971497 11.104584
2015-07-01-16 00 11.102	0.44158936 -0.41429138 10.539246
2015-07-01-16 00 11.107	0.27734375 -0.17268372 9.977478
2015-07-01-16 00 11.111	0.18450928 -0.021530151 9.489502
2015-07-01-16 00 11.118	-0.028533936 0.20579529 8.977722
2015-07-01-16 00 11.121	-0.12612915 0.35456848 8.44809
2015-07-01-16 00 11.127	-0.21658325 0.4771576 8.083893
2015-07-01-16 00 11.131	-0.105895996 0.70448303 7.686371
