2015-07-01-15 51 47.158	-1.4674683 0.65449524 6.680664
2015-07-01-15 51 47.162	-1.2210999 0.7223358 6.9151306
2015-07-01-15 51 47.168	-1.09375 1.0139313 7.2924194
2015-07-01-15 51 47.172	-1.0187683 1.2126923 7.270996
2015-07-01-15 51 47.178	-0.8545227 1.3186188 7.301941
2015-07-01-15 51 47.182	-0.6890869 1.3721771 7.3507385
2015-07-01-15 51 47.187	-0.5522156 1.5292816 7.5614014
2015-07-01-15 51 47.193	-0.3784485 1.5614166 7.814911
2015-07-01-15 51 47.198	-0.42962646 1.6233063 8.118408
2015-07-01-15 51 47.204	-0.36773682 1.6125946 8.250519
2015-07-01-15 51 47.208	-0.3784485 1.5578461 8.143402
2015-07-01-15 51 47.213	-0.61886597 1.4328766 8.1315
2015-07-01-15 51 47.218	-0.8973694 1.2388763 8.2933655
2015-07-01-15 51 47.223	-0.946167 1.1389008 8.462372
2015-07-01-15 51 47.228	-0.9211731 1.0520172 8.618286
2015-07-01-15 51 47.233	-0.79382324 1.1412811 8.808716
2015-07-01-15 51 47.238	-0.7164612 1.1627045 9.075317
2015-07-01-15 51 47.243	-0.68670654 1.2781525 9.2812195
2015-07-01-15 51 47.248	-0.5331726 1.26268 9.321686
2015-07-01-15 51 47.253	-0.2368164 1.2614899 9.4288025
2015-07-01-15 51 47.258	0.0345459 1.3245697 9.497833
2015-07-01-15 51 47.263	0.3320923 1.4626312 9.520447
2015-07-01-15 51 47.268	0.5379944 1.5280914 9.651367
2015-07-01-15 51 47.273	0.60583496 1.6899567 9.694214
2015-07-01-15 51 47.278	0.7748413 1.8327789 9.821564
2015-07-01-15 51 47.283	0.9736023 1.923233 9.842987
2015-07-01-15 51 47.288	1.2437744 1.9089508 10.036987
2015-07-01-15 51 47.293	1.3449402 1.826828 10.152435
2015-07-01-15 51 47.299	1.4580078 1.7351837 10.338104
2015-07-01-15 51 47.303	1.6163025 1.6197357 10.608276
2015-07-01-15 51 47.308	1.5948792 1.5328522 10.851074
2015-07-01-15 51 47.313	1.6115417 1.4019318 11.14743
2015-07-01-15 51 47.319	1.8352966 1.3174286 11.59613
2015-07-01-15 51 47.323	1.8352966 1.2472076 12.353088
2015-07-01-15 51 47.328	1.625824 1.1389008 12.979126
2015-07-01-15 51 47.334	1.3508911 0.890152 13.285004
2015-07-01-15 51 47.339	1.0628662 0.787796 13.237396
2015-07-01-15 51 47.343	0.9985962 0.7294769 13.215973
2015-07-01-15 51 47.349	0.8998108 0.70448303 13.161224
2015-07-01-15 51 47.356	0.9962158 0.89134216 12.359039
2015-07-01-15 51 47.360	0.9962158 0.89134216 12.359039
2015-07-01-15 51 47.364	1.099762 1.1567535 11.747284
2015-07-01-15 51 47.369	1.2509155 1.4566803 11.092682
2015-07-01-15 51 47.374	1.3901672 1.7744598 10.560669
2015-07-01-15 51 47.379	1.6948547 1.974411 10.347626
2015-07-01-15 51 47.384	1.9674072 2.0720062 10.347626
2015-07-01-15 51 47.389	2.1959229 2.0720062 10.604706
2015-07-01-15 51 47.394	2.1316528 1.9446564 11.027222
2015-07-01-15 51 47.400	1.8674316 1.5804596 11.688965
2015-07-01-15 51 47.404	1.4568176 1.0151215 12.5720825
2015-07-01-15 51 47.409	0.9736023 0.4116974 13.421875
2015-07-01-15 51 47.414	-0.17373657 -0.044143677 14.308563
2015-07-01-15 51 47.419	-1.7983398 -0.31788635 14.789398
2015-07-01-15 51 47.424	-1.901886 -0.77134705 15.348785
2015-07-01-15 51 47.429	-1.587677 -1.2914581 15.672516
2015-07-01-15 51 47.434	-1.1473083 -1.874649 15.736786
2015-07-01-15 51 47.440	-0.914032 -2.2388458 15.752258
2015-07-01-15 51 47.444	-0.71765137 -2.3661957 15.546356
2015-07-01-15 51 47.449	-0.75097656 -2.2507477 15.234528
2015-07-01-15 51 47.454	-0.6343384 -1.733017 14.384735
2015-07-01-15 51 47.460	-0.6343384 -1.733017 14.384735
2015-07-01-15 51 47.464	-0.54507446 -1.6556549 13.299286
2015-07-01-15 51 47.470	-0.51651 -1.5390167 12.42569
2015-07-01-15 51 47.475	0.30114746 -0.7344513 11.391418
2015-07-01-15 51 47.480	0.30114746 -0.7344513 11.391418
2015-07-01-15 51 47.486	1.5187073 -0.34169006 10.584473
2015-07-01-15 51 47.490	1.9186096 -0.17625427 10.320251
2015-07-01-15 51 47.495	2.1566467 -0.1738739 10.083405
2015-07-01-15 51 47.503	2.4327698 -0.17744446 10.082214
2015-07-01-15 51 47.506	2.5089417 -0.13102722 10.039368
2015-07-01-15 51 47.510	2.8076782 -0.11555481 10.0060425
2015-07-01-15 51 47.515	2.8624268 -0.11793518 9.914398
2015-07-01-15 51 47.520	2.716034 -0.095321655 9.99295
2015-07-01-15 51 47.525	2.2209167 -0.1334076 10.078644
2015-07-01-15 51 47.530	1.6889038 -0.14173889 10.127441
2015-07-01-15 51 47.535	1.3854065 -0.16197205 9.85965
2015-07-01-15 51 47.540	1.27948 -0.27503967 9.762054
2015-07-01-15 51 47.545	1.1033325 -0.32026672 9.429993
2015-07-01-15 51 47.550	0.8081665 -0.36668396 9.194336
2015-07-01-15 51 47.556	0.87838745 -0.30955505 8.7361145
2015-07-01-15 51 47.560	0.6213074 -0.22981262 8.379059
2015-07-01-15 51 47.565	0.5594177 -0.116744995 7.93631
2015-07-01-15 51 47.570	0.5927429 0.024887085 7.494751
2015-07-01-15 51 47.575	0.6034546 0.110580444 7.212677
2015-07-01-15 51 47.581	0.24282837 0.50691223 6.8425293
2015-07-01-15 51 47.585	-0.07852173 0.76994324 6.3688354
2015-07-01-15 51 47.590	-0.27252197 1.0543976 5.999878
2015-07-01-15 51 47.595	-0.22015381 1.3174286 5.479767
2015-07-01-15 51 47.601	-0.10470581 1.4923859 4.8489685
2015-07-01-15 51 47.605	-0.14398193 1.595932 4.40979
2015-07-01-15 51 47.610	-0.91522217 2.532608 4.2253113
2015-07-01-15 51 47.616	-0.81881714 2.840866 4.3871765
2015-07-01-15 51 47.621	-0.34274292 2.833725 4.3812256
