2015-07-07-18 33 25.464	-0.56411743 2.3647919 3.781372
2015-07-07-18 33 25.469	-1.292511 2.0410614 4.0932007
2015-07-07-18 33 25.474	-1.292511 2.0410614 4.0932007
2015-07-07-18 33 25.479	-1.6364746 1.8696747 4.0455933
2015-07-07-18 33 25.484	-2.0209045 1.512619 4.031311
2015-07-07-18 33 25.489	-2.235138 1.429306 4.0408325
2015-07-07-18 33 25.494	-2.3005981 1.3947906 4.177704
2015-07-07-18 33 25.499	-2.2958374 1.3793182 4.3240967
2015-07-07-18 33 25.504	-2.3720093 1.3364716 4.820404
2015-07-07-18 33 25.509	-2.5469666 1.3412323 5.6047363
2015-07-07-18 33 25.514	-2.6540833 1.4423981 6.155792
2015-07-07-18 33 25.519	-2.2720337 1.4316864 6.2010193
2015-07-07-18 33 25.524	-1.9685364 1.3983612 5.659485
2015-07-07-18 33 25.529	-1.9304504 1.5411835 6.1653137
2015-07-07-18 33 25.534	-1.7804871 1.6483002 6.9603577
2015-07-07-18 33 25.539	-1.4627075 1.7673187 7.525696
2015-07-07-18 33 25.544	-1.190155 1.8613434 7.8446655
2015-07-07-18 33 25.549	-0.92474365 1.7232819 8.145782
2015-07-07-18 33 25.555	-0.881897 1.5340424 8.481415
2015-07-07-18 33 25.559	-0.87594604 1.2710114 8.882507
2015-07-07-18 33 25.564	-0.94973755 0.9377594 8.959869
2015-07-07-18 33 25.572	-1.138977 0.6473541 9.055084
2015-07-07-18 33 25.576	-1.4424744 0.45335388 9.126495
2015-07-07-18 33 25.579	-1.6947937 0.31648254 9.177673
2015-07-07-18 33 25.584	-2.068512 0.26411438 9.016998
2015-07-07-18 33 25.590	-2.2577515 0.2962494 8.982483
2015-07-07-18 33 25.595	-2.3815308 0.36289978 8.840851
2015-07-07-18 33 25.599	-2.4838867 0.52119446 8.77063
2015-07-07-18 33 25.604	-2.5088806 0.691391 8.795624
2015-07-07-18 33 25.610	-2.4172363 0.8544464 8.699219
2015-07-07-18 33 25.615	-2.4505615 1.050827 9.001526
2015-07-07-18 33 25.620	-2.4684143 1.2079315 9.2812195
2015-07-07-18 33 25.625	-2.479126 1.319809 9.518066
2015-07-07-18 33 25.630	-2.3172607 1.4328766 9.847748
