2015-07-03-16 09 12.018	2.2173462 -0.6249542 8.326691
2015-07-03-16 09 12.023	2.4970398 -0.5702057 8.650421
2015-07-03-16 09 12.028	2.6315308 -0.5118866 9.036041
2015-07-03-16 09 12.033	2.5839233 -0.44047546 9.3454895
2015-07-03-16 09 12.038	2.4422913 -0.40000916 9.737061
2015-07-03-16 09 12.043	2.1280823 -0.36906433 9.902496
2015-07-03-16 09 12.049	2.0269165 -0.44285583 9.844177
2015-07-03-16 09 12.054	1.8222046 -0.4857025 9.663269
2015-07-03-16 09 12.058	1.6174927 -0.51426697 9.499023
2015-07-03-16 09 12.063	1.4853821 -0.67970276 9.388336
2015-07-03-16 09 12.069	1.362793 -0.8082428 8.9991455
2015-07-03-16 09 12.073	1.1985474 -0.7915802 8.657562
2015-07-03-16 09 12.078	1.0664368 -0.7023163 8.418335
2015-07-03-16 09 12.084	0.91171265 -0.5285492 8.125549
2015-07-03-16 09 12.089	0.76293945 -0.3631134 7.6792297
2015-07-03-16 09 12.093	0.6665344 -0.1322174 7.2948
2015-07-03-16 09 12.099	0.5439453 0.07487488 7.0377197
2015-07-03-16 09 12.104	0.4308777 0.29386902 6.769928
2015-07-03-16 09 12.109	0.29400635 0.4854889 6.6437683
2015-07-03-16 09 12.114	0.19760132 0.640213 6.436676
2015-07-03-16 09 12.119	0.27972412 0.7889862 6.3557434
2015-07-03-16 09 12.124	0.26782227 0.7794647 6.359314
2015-07-03-16 09 12.129	0.36065674 0.91752625 6.5414124
2015-07-03-16 09 12.134	0.41778564 0.9877472 6.9401245
2015-07-03-16 09 12.139	0.5141907 1.0746307 7.3900146
2015-07-03-16 09 12.144	0.48086548 1.1960297 7.7542114
2015-07-03-16 09 12.149	0.5272827 1.2138824 7.9922485
2015-07-03-16 09 12.154	0.33328247 1.1567535 8.399292
2015-07-03-16 09 12.159	0.26306152 1.1103363 8.539734
2015-07-03-16 09 12.164	0.19641113 1.0210724 8.724213
2015-07-03-16 09 12.169	0.09881592 0.81993103 8.890839
2015-07-03-16 09 12.174	-0.138031 0.66282654 9.112213
2015-07-03-16 09 12.179	-0.17611694 0.627121 9.4609375
2015-07-03-16 09 12.184	-0.090423584 0.5081024 9.60257
2015-07-03-16 09 12.190	-0.4689026 0.5283356 9.973907
2015-07-03-16 09 12.194	-0.85928345 0.71995544 10.204803
2015-07-03-16 09 12.199	-0.91522217 0.95799255 10.226227
2015-07-03-16 09 12.207	-0.7319336 1.1746063 10.452362
2015-07-03-16 09 12.211	-0.76882935 1.3269501 10.542816
2015-07-03-16 09 12.214	-0.7069397 1.525711 10.576141
2015-07-03-16 09 12.219	-0.6914673 1.660202 10.685638
2015-07-03-16 09 12.225	-0.5831604 1.8065948 10.597565
2015-07-03-16 09 12.230	-0.63552856 1.9339447 10.723724
2015-07-03-16 09 12.234	-0.567688 2.1493683 10.721344
2015-07-03-16 09 12.240	-0.12850952 2.166031 10.799896
2015-07-03-16 09 12.245	-0.6890869 2.4445343 10.517822
2015-07-03-16 09 12.251	-0.6581421 2.692093 10.391663
2015-07-03-16 09 12.255	-0.58078 2.911087 10.380951
2015-07-03-16 09 12.260	-0.76049805 2.9991608 10.219086
2015-07-03-16 09 12.265	-0.71884155 3.0360565 10.111969
2015-07-03-16 09 12.270	-0.6890869 3.0539093 10.152435
2015-07-03-16 09 12.275	-0.6557617 3.0253448 10.290497
2015-07-03-16 09 12.280	-0.7462158 2.9955902 10.390472
2015-07-03-16 09 12.285	-0.62838745 2.9396515 10.652313
2015-07-03-16 09 12.290	-0.77835083 2.924179 10.653503
2015-07-03-16 09 12.295	-0.8128662 2.9420319 10.733246
2015-07-03-16 09 12.300	-0.6724243 2.884903 10.747528
2015-07-03-16 09 12.305	-0.6414795 2.8741913 10.648743
2015-07-03-16 09 12.310	-0.5177002 2.7420807 10.7439575
2015-07-03-16 09 12.315	-0.5272217 2.7611237 10.8784485
2015-07-03-16 09 12.320	-0.43676758 2.8182526 10.908203
2015-07-03-16 09 12.325	-0.29989624 2.86586 10.864166
2015-07-03-16 09 12.331	-0.2284851 2.8027802 10.673737
2015-07-03-16 09 12.335	0.15237427 2.583786 10.653503
2015-07-03-16 09 12.340	0.4951477 2.2148285 10.710632
2015-07-03-16 09 12.345	0.7486572 1.9077606 10.998657
2015-07-03-16 09 12.351	0.95932007 1.7447052 11.6604
2015-07-03-16 09 12.357	1.1842651 1.5554657 12.216217
2015-07-03-16 09 12.360	1.3687439 1.2852936 12.726807
2015-07-03-16 09 12.366	1.3497009 1.0270233 13.252869
2015-07-03-16 09 12.371	1.3735046 0.806839 13.570648
2015-07-03-16 09 12.376	1.2509155 0.4438324 13.869385
2015-07-03-16 09 12.381	0.9962158 0.09867859 14.077667
2015-07-03-16 09 12.386	0.84506226 -0.17268372 14.140747
2015-07-03-16 09 12.391	0.5963135 -0.527359 14.058624
2015-07-03-16 09 12.396	0.32019043 -0.6261444 13.819397
2015-07-03-16 09 12.401	0.083343506 -0.84513855 13.486145
2015-07-03-16 09 12.406	-0.17016602 -0.95106506 13.058868
2015-07-03-16 09 12.411	-0.42129517 -1.0117645 12.382843
2015-07-03-16 09 12.416	-0.6164856 -1.0189056 11.809174
2015-07-03-16 09 12.421	-0.80215454 -1.0796051 11.170044
2015-07-03-16 09 12.426	-0.7831116 -1.0438995 10.539246
2015-07-03-16 09 12.431	-0.80810547 -1.0581818 9.762054
2015-07-03-16 09 12.436	-0.71170044 -0.92845154 9.433563
2015-07-03-16 09 12.441	-0.50460815 -0.8820343 8.949158
2015-07-03-16 09 12.446	-0.28799438 -0.80348206 8.632568
2015-07-03-16 09 12.452	0.07739258 -0.693985 8.461182
2015-07-03-16 09 12.456	0.57250977 -0.64875793 8.408813
2015-07-03-16 09 12.461	1.048584 -0.6285248 8.524261
2015-07-03-16 09 12.466	1.4104004 -0.7594452 8.650421
2015-07-03-16 09 12.472	1.6829529 -0.8510895 8.89798
2015-07-03-16 09 12.476	1.940033 -0.94392395 9.215759
2015-07-03-16 09 12.481	2.1054688 -1.0712738 9.54306
2015-07-03-16 09 12.486	2.2328186 -1.2093353 9.970337
2015-07-03-16 09 12.492	2.292328 -1.2831268 10.335724
2015-07-03-16 09 12.496	2.2947083 -1.4497528 10.595184
2015-07-03-16 09 12.502	2.1566467 -1.5402069 11.003418
2015-07-03-16 09 12.509	1.6627197 -1.8020477 11.115295
2015-07-03-16 09 12.513	1.6627197 -1.8020477 11.115295
2015-07-03-16 09 12.517	1.5079956 -1.8794098 11.056976
2015-07-03-16 09 12.522	1.3187561 -1.8318024 10.811798
2015-07-03-16 09 12.527	1.0700073 -1.7830048 10.555908
2015-07-03-16 09 12.533	0.9236145 -1.7496796 10.277405
2015-07-03-16 09 12.537	0.86053467 -1.5949554 9.916779
2015-07-03-16 09 12.542	0.86291504 -1.4366608 9.422852
2015-07-03-16 09 12.547	0.8391113 -1.2866974 8.949158
2015-07-03-16 09 12.553	0.849823 -1.0367584 8.477844
2015-07-03-16 09 12.557	0.8998108 -0.8760834 8.12912
2015-07-03-16 09 12.562	0.77960205 -0.6332855 7.803009
2015-07-03-16 09 12.567	0.80340576 -0.39167786 7.476898
2015-07-03-16 09 12.573	0.83078 -0.09413147 7.213867
2015-07-03-16 09 12.577	1.0533447 0.03440857 6.8294373
2015-07-03-16 09 12.582	0.8510132 0.31410217 6.564026
2015-07-03-16 09 12.587	0.85220337 0.5735626 6.090332
2015-07-03-16 09 12.592	0.9914551 0.8532562 5.69162
2015-07-03-16 09 12.597	1.0045471 1.0722504 5.261963
2015-07-03-16 09 12.602	1.1592712 1.2674408 4.890625
2015-07-03-16 09 12.607	1.3389893 1.3912201 4.532379
2015-07-03-16 09 12.613	1.4925232 1.5530853 4.3098145
