2015-07-10-15 49 00.378	-0.8545227 1.6423492 9.782288
2015-07-10-15 49 00.383	-0.71170044 1.6685333 9.872742
2015-07-10-15 49 00.388	-0.71051025 1.7018585 9.916779
2015-07-10-15 49 00.392	-0.6759949 1.634018 9.975098
2015-07-10-15 49 00.398	-0.747406 1.64711 9.891785
2015-07-10-15 49 00.403	-0.78430176 1.563797 9.8905945
2015-07-10-15 49 00.408	-0.75930786 1.6221161 9.942963
2015-07-10-15 49 00.413	-0.80215454 1.6578217 9.969147
2015-07-10-15 49 00.418	-0.830719 1.6233063 10.032227
2015-07-10-15 49 00.423	-0.77001953 1.7220917 10.072693
2015-07-10-15 49 00.429	-0.7247925 1.7530365 10.176239
2015-07-10-15 49 00.433	-1.144928 1.313858 10.258362
2015-07-10-15 49 00.438	-1.0628052 1.3102875 10.344055
2015-07-10-15 49 00.444	-0.7390747 1.7649384 10.433319
2015-07-10-15 49 00.448	-0.56292725 2.082718 10.352386
2015-07-10-15 49 00.455	-0.34274292 2.2124481 10.233368
2015-07-10-15 49 00.458	-0.21658325 2.2255402 10.194092
2015-07-10-15 49 00.464	-0.20706177 2.0970001 10.163147
2015-07-10-15 49 00.468	-0.25228882 1.9672699 10.160767
2015-07-10-15 49 00.474	-0.30584717 1.8756256 10.142914
2015-07-10-15 49 00.479	-0.36773682 1.7589874 10.289307
2015-07-10-15 49 00.484	-0.42843628 1.5423737 10.673737
2015-07-10-15 49 00.488	-0.4439087 1.3126678 11.180756
2015-07-10-15 49 00.493	-0.51651 0.9710846 11.727051
2015-07-10-15 49 00.498	-0.6260071 0.72114563 12.373322
2015-07-10-15 49 00.504	-0.84381104 0.4021759 12.933899
2015-07-10-15 49 00.508	-1.0818481 0.070114136 13.364746
2015-07-10-15 49 00.513	-1.3579712 -0.2155304 13.787262
2015-07-10-15 49 00.519	-1.600769 -0.4940338 13.994354
2015-07-10-15 49 00.524	-1.9006958 -0.80467224 14.089569
2015-07-10-15 49 00.529	-2.0923157 -1.0236664 13.986023
2015-07-10-15 49 00.534	-2.2137146 -1.072464 13.756317
2015-07-10-15 49 00.539	-2.3363037 -1.0831757 13.283813
2015-07-10-15 49 00.544	-2.4053345 -1.0831757 12.742279
2015-07-10-15 49 00.549	-2.325592 -0.92607117 12.073395
2015-07-10-15 49 00.554	-2.0387573 -0.81300354 11.565186
2015-07-10-15 49 00.559	-1.8495178 -0.6416168 10.930817
2015-07-10-15 49 00.564	-1.5948181 -0.38572693 10.336914
2015-07-10-15 49 00.569	-1.504364 -0.2571869 9.776337
2015-07-10-15 49 00.574	-1.5007935 -0.10484314 9.293121
2015-07-10-15 49 00.581	-1.3067932 0.22602844 8.814667
2015-07-10-15 49 00.585	-1.0985107 0.44978333 8.360016
2015-07-10-15 49 00.589	-0.9187927 0.6187897 8.117218
2015-07-10-15 49 00.594	-0.8152466 0.7889862 7.8434753
2015-07-10-15 49 00.599	-0.66052246 0.94966125 7.661377
2015-07-10-15 49 00.605	-0.52841187 1.0782013 7.649475
2015-07-10-15 49 00.609	-0.32608032 1.2329254 7.5292664
2015-07-10-15 49 00.614	-0.084472656 1.3602753 7.4007263
2015-07-10-15 49 00.619	0.13214111 1.4471588 7.404297
2015-07-10-15 49 00.625	0.28567505 1.5280914 7.335266
2015-07-10-15 49 00.629	0.37850952 1.6209259 7.4328613
2015-07-10-15 49 00.634	0.55703735 1.6935272 7.457855
2015-07-10-15 49 00.639	0.61416626 1.641159 7.573303
2015-07-10-15 49 00.645	0.5534668 1.5161896 7.739929
2015-07-10-15 49 00.649	0.48443604 1.332901 8.014862
2015-07-10-15 49 00.654	0.26306152 1.1579437 8.536163
2015-07-10-15 49 00.660	0.11785889 0.96632385 9.0503235
2015-07-10-15 49 00.665	-0.092803955 0.7223358 9.601379
2015-07-10-15 49 00.670	-0.24276733 0.524765 10.18338
2015-07-10-15 49 00.675	-0.47485352 0.22007751 10.766571
2015-07-10-15 49 00.680	-0.68551636 -0.03819275 11.168854
2015-07-10-15 49 00.686	-0.94259644 -0.25242615 11.5842285
2015-07-10-15 49 00.690	-1.1151733 -0.47380066 11.766327
2015-07-10-15 49 00.695	-1.3103638 -0.5511627 11.738953
2015-07-10-15 49 00.701	-1.4460449 -0.6904144 11.706818
2015-07-10-15 49 00.705	-1.5186462 -0.7237396 11.617554
2015-07-10-15 49 00.710	-1.587677 -0.6499481 11.356903
2015-07-10-15 49 00.715	-1.7126465 -0.6035309 11.064117
