2015-07-01-19 44 49.503	0.8236389 2.0874786 7.4661865
2015-07-01-19 44 49.509	0.8426819 2.0101166 7.751831
2015-07-01-19 44 49.513	0.881958 2.0077362 8.173157
2015-07-01-19 44 49.518	0.91171265 1.9589386 8.470703
2015-07-01-19 44 49.525	0.91052246 1.9375153 8.718262
2015-07-01-19 44 49.529	0.946228 1.8684845 9.03009
2015-07-01-19 44 49.534	0.96884155 1.7054291 9.376434
2015-07-01-19 44 49.539	1.010498 1.5876007 9.778717
2015-07-01-19 44 49.544	1.1140442 1.429306 10.236938
2015-07-01-19 44 49.549	1.0081177 1.2710114 10.787994
2015-07-01-19 44 49.554	1.0783386 1.0662994 11.762756
2015-07-01-19 44 49.559	1.1426086 0.85087585 12.883911
2015-07-01-19 44 49.564	1.2509155 0.7330475 14.1562195
2015-07-01-19 44 49.570	1.4163513 0.5164337 15.465424
2015-07-01-19 44 49.574	1.4996643 0.2950592 16.72107
2015-07-01-19 44 49.579	1.375885 0.110580444 17.613708
2015-07-01-19 44 49.584	1.3258972 -0.058425903 18.102875
2015-07-01-19 44 49.589	1.2437744 -0.264328 17.995758
2015-07-01-19 44 49.594	1.0283508 -0.08699036 17.268555
2015-07-01-19 44 49.599	1.0378723 0.17604065 15.947449
2015-07-01-19 44 49.604	0.7926941 0.2962494 14.333557
2015-07-01-19 44 49.609	0.39517212 0.07606506 12.455444
2015-07-01-19 44 49.614	0.23330688 -0.10127258 10.840363
2015-07-01-19 44 49.619	0.44158936 0.06416321 9.397858
2015-07-01-19 44 49.624	0.73794556 0.62117004 8.399292
2015-07-01-19 44 49.629	0.785553 1.2150726 7.9779663
2015-07-01-19 44 49.634	0.3892212 1.6863861 8.042236
2015-07-01-19 44 49.639	-0.18444824 1.8125458 8.141022
2015-07-01-19 44 49.644	-0.9187927 1.698288 8.245758
2015-07-01-19 44 49.650	-1.4246216 1.550705 8.286224
2015-07-01-19 44 49.654	-1.4746094 1.4316864 8.554016
2015-07-01-19 44 49.659	-1.3901062 1.4685822 9.194336
2015-07-01-19 44 49.665	-1.2472839 1.4781036 10.017944
2015-07-01-19 44 49.670	-1.0390015 1.4542999 10.786804
2015-07-01-19 44 49.675	-0.8902283 1.429306 11.828217
2015-07-01-19 44 49.679	-0.74383545 1.4066925 12.849396
2015-07-01-19 44 49.685	-0.4427185 1.3483734 13.96817
2015-07-01-19 44 49.690	-0.17730713 1.1162872 14.951263
2015-07-01-19 44 49.695	0.016693115 0.87705994 15.664185
2015-07-01-19 44 49.700	-0.024963379 0.6187897 16.065277
2015-07-01-19 44 49.705	-0.18087769 0.3617096 16.077179
2015-07-01-19 44 49.710	-0.36416626 0.2129364 15.652283
2015-07-01-19 44 49.715	-0.42486572 0.2129364 14.813202
2015-07-01-19 44 49.720	-0.44152832 0.37361145 13.750366
2015-07-01-19 44 49.726	-0.3356018 0.61997986 12.434021
