2015-07-01-19 41 00.744	-0.7950134 1.2769623 11.586609
2015-07-01-19 41 00.749	-0.5831604 1.1519928 12.049591
2015-07-01-19 41 00.754	-0.36535645 1.1174774 12.561371
2015-07-01-19 41 00.760	-0.2046814 1.1091461 12.679199
2015-07-01-19 41 00.764	-0.069000244 1.2329254 12.901764
2015-07-01-19 41 00.769	-0.036865234 1.300766 12.716095
2015-07-01-19 41 00.775	-0.1296997 1.3388519 12.341187
2015-07-01-19 41 00.780	-0.30822754 1.3233795 11.811554
2015-07-01-19 41 00.784	-0.5760193 1.3436127 11.317627
2015-07-01-19 41 00.790	-0.9925842 1.2924347 10.901062
2015-07-01-19 41 00.795	-1.4139099 1.217453 10.751099
2015-07-01-19 41 00.800	-1.8388062 1.2960052 10.809418
2015-07-01-19 41 00.805	-2.1803894 1.3174286 11.042694
2015-07-01-19 41 00.810	-2.44104 1.4150238 11.490204
2015-07-01-19 41 00.815	-2.3648682 1.4435883 12.0460205
2015-07-01-19 41 00.820	-2.2113342 1.5030975 12.692291
2015-07-01-19 41 00.825	-1.8518982 1.4388275 13.245728
2015-07-01-19 41 00.830	-1.6138611 1.3686066 13.64682
2015-07-01-19 41 00.835	-1.3198853 1.2245941 13.826538
2015-07-01-19 41 00.840	-1.0223389 1.0865326 13.9574585
2015-07-01-19 41 00.846	-0.71765137 0.9639435 14.09552
2015-07-01-19 41 00.850	-0.52960205 0.89967346 14.145508
2015-07-01-19 41 00.855	-0.46652222 0.8484955 14.107422
2015-07-01-19 41 00.862	-0.42486572 0.8365936 14.091949
2015-07-01-19 41 00.867	-0.35940552 0.8865814 13.888428
2015-07-01-19 41 00.870	-0.48794556 0.9948883 13.479004
2015-07-01-19 41 00.875	-0.7057495 1.0758209 13.043396
2015-07-01-19 41 00.881	-0.7902527 1.1948395 12.463776
2015-07-01-19 41 00.885	-0.9378357 1.3090973 11.906769
2015-07-01-19 41 00.891	-1.042572 1.3876495 11.220032
2015-07-01-19 41 00.896	-1.048523 1.4876251 10.689209
2015-07-01-19 41 00.901	-1.0973206 1.5530853 10.303589
2015-07-01-19 41 00.905	-0.96759033 1.6578217 10.047699
2015-07-01-19 41 00.910	-0.9378357 1.7411346 9.976288
2015-07-01-19 41 00.916	-0.86642456 1.7280426 10.009613
2015-07-01-19 41 00.921	-0.83428955 1.781601 10.139343
2015-07-01-19 41 00.925	-0.74264526 1.8054047 10.288116
2015-07-01-19 41 00.930	-0.6093445 1.7923126 10.390472
2015-07-01-19 41 00.936	-0.5736389 1.7744598 10.417847
2015-07-01-19 41 00.941	-0.51174927 1.7708893 10.435699
2015-07-01-19 41 00.946	-0.41415405 1.8958588 10.458313
2015-07-01-19 41 00.951	-0.47485352 1.9601288 10.379761
2015-07-01-19 41 00.956	-0.47485352 1.9732208 10.260742
2015-07-01-19 41 00.961	-0.47009277 1.9363251 9.957245
2015-07-01-19 41 00.966	-0.5403137 1.9815521 9.789429
2015-07-01-19 41 00.971	-0.55340576 1.9470367 9.464508
2015-07-01-19 41 00.976	-0.6402893 1.9863129 9.208618
2015-07-01-19 41 00.981	-0.57839966 1.9541779 8.862274
2015-07-01-19 41 00.986	-0.64505005 1.974411 8.596863
2015-07-01-19 41 00.991	-0.60339355 1.9446564 8.221954
2015-07-01-19 41 00.998	-0.5736389 2.0041656 7.962494
2015-07-01-19 41 01.002	-0.47842407 2.0184479 7.8137207
2015-07-01-19 41 01.006	-0.3843994 1.993454 7.635193
2015-07-01-19 41 01.011	-0.3843994 2.0148773 7.5292664
2015-07-01-19 41 01.018	-0.34274292 2.0398712 7.374542
2015-07-01-19 41 01.022	-0.30108643 2.0232086 7.117462
2015-07-01-19 41 01.026	-0.22372437 2.0374908 6.78421
2015-07-01-19 41 01.031	-0.11065674 1.9791718 6.506897
2015-07-01-19 41 01.036	0.009552002 2.0601044 6.262909
2015-07-01-19 41 01.042	0.10357666 2.1041412 6.045105
2015-07-01-19 41 01.046	0.12142944 2.2064972 5.891571
2015-07-01-19 41 01.051	0.15356445 2.2207794 5.827301
2015-07-01-19 41 01.057	0.25234985 2.1886444 5.761841
2015-07-01-19 41 01.062	0.2321167 2.2017365 5.776123
2015-07-01-19 41 01.066	0.2071228 2.2660065 5.5928345
2015-07-01-19 41 01.071	0.2642517 2.2457733 5.551178
2015-07-01-19 41 01.077	0.15237427 2.2707672 5.5428467
2015-07-01-19 41 01.082	0.17617798 2.2148285 5.423828
2015-07-01-19 41 01.087	0.123809814 2.167221 5.3881226
2015-07-01-19 41 01.092	0.16546631 2.1422272 5.448822
2015-07-01-19 41 01.097	0.1499939 2.1434174 5.467865
2015-07-01-19 41 01.102	0.102386475 2.1838837 5.634491
2015-07-01-19 41 01.107	0.11428833 2.1136627 5.9201355
2015-07-01-19 41 01.112	0.12738037 2.1886444 5.995117
2015-07-01-19 41 01.117	0.1416626 2.1755524 6.237915
2015-07-01-19 41 01.122	0.113098145 2.1969757 6.4200134
2015-07-01-19 41 01.127	0.15118408 2.186264 6.5759277
2015-07-01-19 41 01.132	0.272583 2.064865 6.7342224
2015-07-01-19 41 01.137	0.23687744 2.025589 6.9603577
2015-07-01-19 41 01.143	0.31661987 2.0148773 7.193634
2015-07-01-19 41 01.148	0.39517212 1.9958344 7.4221497
2015-07-01-19 41 01.152	0.58084106 2.025589 7.788727
2015-07-01-19 41 01.157	0.6843872 2.0946198 8.0624695
2015-07-01-19 41 01.164	0.734375 2.0160675 8.374298
2015-07-01-19 41 01.167	0.75460815 2.0731964 8.468323
2015-07-01-19 41 01.173	0.81173706 2.154129 8.482605
2015-07-01-19 41 01.180	0.8438721 2.1707916 8.32312
2015-07-01-19 41 01.183	0.95098877 2.2648163 8.152924
2015-07-01-19 41 01.187	0.95098877 2.346939 7.891083
2015-07-01-19 41 01.193	0.933136 2.4076385 7.8125305
2015-07-01-19 41 01.198	0.9057617 2.4064484 7.788727
2015-07-01-19 41 01.203	0.9236145 2.4350128 7.866089
2015-07-01-19 41 01.207	0.84506226 2.4373932 8.0112915
2015-07-01-19 41 01.212	0.7248535 2.379074 8.246948
2015-07-01-19 41 01.218	0.64868164 2.398117 8.564728
2015-07-01-19 41 01.223	0.5106201 2.4016876 8.983673
2015-07-01-19 41 01.228	0.44754028 2.4528656 9.369293
2015-07-01-19 41 01.233	0.41183472 2.4564362 9.771576
2015-07-01-19 41 01.238	0.45230103 2.4588165 10.314301
2015-07-01-19 41 01.243	0.49157715 2.4540558 10.811798
2015-07-01-19 41 01.248	0.58203125 2.4647675 11.279541
2015-07-01-19 41 01.253	0.62249756 2.4469147 11.807983
2015-07-01-19 41 01.258	0.7248535 2.449295 12.162659
2015-07-01-19 41 01.263	0.79626465 2.4730988 12.3602295
2015-07-01-19 41 01.268	0.86886597 2.5111847 12.386414
2015-07-01-19 41 01.273	0.94503784 2.4028778 12.279297
2015-07-01-19 41 01.278	1.0188293 2.2779083 12.094818
2015-07-01-19 41 01.284	0.8748169 2.0946198 11.765137
2015-07-01-19 41 01.288	0.6046448 1.9172821 11.546143
2015-07-01-19 41 01.293	0.16427612 1.6780548 11.4366455
2015-07-01-19 41 01.300	-0.7628784 1.5042877 11.877014
2015-07-01-19 41 01.304	-0.7628784 1.5042877 11.877014
2015-07-01-19 41 01.308	-0.8640442 1.5673676 12.451874
2015-07-01-19 41 01.313	-0.9187927 1.6732941 13.151703
2015-07-01-19 41 01.319	-0.73550415 1.7137604 13.624207
2015-07-01-19 41 01.324	-0.5022278 1.7280426 14.022919
2015-07-01-19 41 01.328	-0.24990845 1.5887909 13.952698
2015-07-01-19 41 01.333	-0.013061523 1.4495392 13.858673
2015-07-01-19 41 01.339	0.3380432 1.230545 13.630157
2015-07-01-19 41 01.344	0.61654663 1.0460663 13.226685
2015-07-01-19 41 01.349	0.98431396 0.871109 12.968414
2015-07-01-19 41 01.354	1.2806702 0.77589417 12.74585
2015-07-01-19 41 01.359	1.5401306 0.6759186 12.6185
2015-07-01-19 41 01.364	1.7448425 0.67829895 12.648254
2015-07-01-19 41 01.368	1.9186096 0.640213 12.624451
2015-07-01-19 41 01.373	1.9900208 0.60450745 12.625641
2015-07-01-19 41 01.379	2.023346 0.6092682 12.731567
2015-07-01-19 41 01.384	1.9507446 0.608078 12.895813
2015-07-01-19 41 01.389	1.7805481 0.5676117 13.020782
2015-07-01-19 41 01.394	1.5413208 0.59617615 13.13266
2015-07-01-19 41 01.399	1.1985474 0.5497589 12.924377
2015-07-01-19 41 01.404	1.1985474 0.5497589 12.924377
2015-07-01-19 41 01.409	0.7748413 0.71281433 12.467346
2015-07-01-19 41 01.414	0.5201416 0.8235016 12.222168
2015-07-01-19 41 01.419	0.3070984 0.87467957 11.78894
2015-07-01-19 41 01.425	0.11428833 0.90205383 11.310486
2015-07-01-19 41 01.429	-0.1296997 0.9722748 10.69516
2015-07-01-19 41 01.434	-0.2701416 0.9948883 10.085785
2015-07-01-19 41 01.439	-0.23800659 0.9936981 9.454987
2015-07-01-19 41 01.445	-0.336792 1.031784 8.7742
2015-07-01-19 41 01.450	-0.35702515 1.0413055 8.252899
2015-07-01-19 41 01.454	-0.46533203 1.088913 7.8053894
2015-07-01-19 41 01.459	-0.48080444 1.1567535 7.412628
2015-07-01-19 41 01.465	-0.548645 1.1638947 7.090088
2015-07-01-19 41 01.469	-0.535553 1.1900787 6.918701
2015-07-01-19 41 01.475	-0.62005615 1.1948395 6.9091797
2015-07-01-19 41 01.479	-0.567688 1.2138824 6.879425
2015-07-01-19 41 01.485	-0.5498352 1.2829132 6.935364
2015-07-01-19 41 01.489	-0.54507446 1.3114777 7.161499
2015-07-01-19 41 01.495	-0.51412964 1.2745819 7.347168
2015-07-01-19 41 01.500	-0.535553 1.3674164 7.443573
2015-07-01-19 41 01.505	-0.47961426 1.3531342 7.5292664
2015-07-01-19 41 01.510	-0.5415039 1.3924103 7.5494995
2015-07-01-19 41 01.515	-0.49032593 1.4174042 7.494751
2015-07-01-19 41 01.520	-0.43795776 1.5138092 7.4031067
2015-07-01-19 41 01.525	-0.4427185 1.5709381 7.3388367
2015-07-01-19 41 01.530	-0.54626465 1.5459442 7.148407
2015-07-01-19 41 01.535	-0.55459595 1.5947418 7.0162964
2015-07-01-19 41 01.540	-0.548645 1.6518707 6.9924927
2015-07-01-19 41 01.545	-0.5772095 1.7280426 6.8556213
2015-07-01-19 41 01.550	-0.58673096 1.7351837 6.8389587
2015-07-01-19 41 01.555	-0.5903015 1.8184967 6.71994
2015-07-01-19 41 01.560	-0.67123413 1.9006195 6.7080383
2015-07-01-19 41 01.565	-0.7045593 1.9327545 6.7854004
2015-07-01-19 41 01.570	-0.80215454 1.9970245 6.865143
2015-07-01-19 41 01.575	-0.81881714 2.064865 6.899658
2015-07-01-19 41 01.580	-0.85809326 2.0970001 7.109131
2015-07-01-19 41 01.586	-0.8807068 2.1136627 7.2614746
2015-07-01-19 41 01.590	-0.83428955 2.1112823 7.380493
2015-07-01-19 41 01.595	-0.8473816 2.0934296 7.6137695
2015-07-01-19 41 01.602	-0.79382324 2.0410614 7.732788
2015-07-01-19 41 01.606	-0.78430176 1.9625092 7.8518066
2015-07-01-19 41 01.610	-0.6593323 1.8934784 8.022003
2015-07-01-19 41 01.615	-0.5653076 1.8482513 8.118408
2015-07-01-19 41 01.621	-0.45224 1.77565 8.199341
2015-07-01-19 41 01.626	-0.47842407 1.6959076 8.494507
2015-07-01-19 41 01.630	-0.41534424 1.5661774 8.759918
2015-07-01-19 41 01.635	-0.38916016 1.378128 8.987244
2015-07-01-19 41 01.641	-0.33084106 1.3102875 9.243134
2015-07-01-19 41 01.647	-0.336792 1.217453 9.447845
2015-07-01-19 41 01.651	-0.18682861 1.1448517 9.6085205
2015-07-01-19 41 01.657	-0.23562622 1.0972443 9.815613
2015-07-01-19 41 01.661	-0.3272705 1.0591583 9.9548645
2015-07-01-19 41 01.666	-0.40463257 1.0448761 10.007233
2015-07-01-19 41 01.671	-0.5188904 0.93418884 10.002472
2015-07-01-19 41 01.676	-0.5760193 0.96632385 9.858459
2015-07-01-19 41 01.681	-0.5081787 0.8449249 9.956055
2015-07-01-19 41 01.686	-0.43319702 0.8377838 9.900116
2015-07-01-19 41 01.691	-0.29156494 0.77708435 10.044128
2015-07-01-19 41 01.696	-0.24752808 0.66163635 10.291687
2015-07-01-19 41 01.701	-0.2630005 0.5200043 10.591614
2015-07-01-19 41 01.706	-0.21182251 0.53071594 10.88916
2015-07-01-19 41 01.711	-0.138031 0.39622498 11.383087
2015-07-01-19 41 01.716	-0.105895996 0.33076477 11.84845
2015-07-01-19 41 01.721	0.053588867 0.32362366 12.547089
2015-07-01-19 41 01.727	0.08929443 0.43788147 13.163605
2015-07-01-19 41 01.731	0.094055176 0.627121 13.600403
2015-07-01-19 41 01.736	0.059539795 0.76875305 13.696808
2015-07-01-19 41 01.741	-0.116607666 0.87586975 13.39093
2015-07-01-19 41 01.747	-0.4605713 0.8044586 12.693481
2015-07-01-19 41 01.752	-0.7628784 0.7961273 11.9758
2015-07-01-19 41 01.756	-0.99020386 0.75209045 11.423553
2015-07-01-19 41 01.762	-1.241333 0.7413788 11.073639
2015-07-01-19 41 01.767	-1.4222412 0.6925812 11.008179
2015-07-01-19 41 01.771	-1.7935791 0.6187897 11.127197
2015-07-01-19 41 01.776	-2.1339722 0.5009613 11.329529
2015-07-01-19 41 01.782	-2.2886963 0.43669128 11.631836
2015-07-01-19 41 01.787	-2.2089539 0.39741516 11.810364
2015-07-01-19 41 01.792	-1.8816528 0.3950348 12.10434
2015-07-01-19 41 01.797	-1.632904 0.35575867 12.357849
2015-07-01-19 41 01.802	-1.3555908 0.25816345 12.676819
2015-07-01-19 41 01.807	-1.2318115 0.16294861 13.075531
2015-07-01-19 41 01.812	-1.1615906 -0.007247925 13.329041
2015-07-01-19 41 01.817	-1.0390015 -0.16792297 13.706329
2015-07-01-19 41 01.822	-1.0437622 -0.1905365 13.987213
2015-07-01-19 41 01.827	-1.0044861 -0.16197205 13.96936
2015-07-01-19 41 01.832	-0.978302 -0.0834198 13.853912
2015-07-01-19 41 01.837	-1.0675659 -0.114364624 13.514709
2015-07-01-19 41 01.842	-1.1080322 -0.021530151 12.999359
2015-07-01-19 41 01.848	-1.2353821 -0.033432007 12.434021
2015-07-01-19 41 01.852	-1.2937012 0.02607727 11.704437
2015-07-01-19 41 01.857	-1.4757996 0.010604858 11.054596
2015-07-01-19 41 01.862	-1.4650879 0.07368469 10.63208
2015-07-01-19 41 01.868	-1.4317627 0.09629822 10.378571
2015-07-01-19 41 01.872	-1.394867 0.17842102 10.352386
2015-07-01-19 41 01.877	-1.1889648 0.25102234 10.654694
2015-07-01-19 41 01.882	-1.144928 0.33790588 11.073639
2015-07-01-19 41 01.888	-1.1044617 0.3438568 11.506866
2015-07-01-19 41 01.892	-0.9057007 0.37123108 11.555664
2015-07-01-19 41 01.897	-0.74264526 0.48310852 11.4878235
2015-07-01-19 41 01.905	-0.5093689 0.6842499 11.003418
2015-07-01-19 41 01.909	-0.5093689 0.6842499 11.003418
2015-07-01-19 41 01.912	-0.39749146 0.74375916 10.720154
2015-07-01-19 41 01.918	-0.43676758 0.8544464 10.524963
2015-07-01-19 41 01.923	-0.47842407 0.8889618 10.327393
2015-07-01-19 41 01.928	-0.57839966 0.9877472 10.008423
2015-07-01-19 41 01.934	-0.45343018 1.0032196 9.712067
2015-07-01-19 41 01.938	-0.41534424 1.1496124 9.370483
2015-07-01-19 41 01.943	-0.33084106 1.2674408 9.210999
2015-07-01-19 41 01.949	-0.23324585 1.378128 9.22171
2015-07-01-19 41 01.953	-0.33084106 1.448349 8.8349
2015-07-01-19 41 01.958	-0.2796631 1.531662 8.540924
2015-07-01-19 41 01.963	-0.15826416 1.6114044 8.280273
2015-07-01-19 41 01.968	-0.12731934 1.6625824 7.867279
2015-07-01-19 41 01.973	-0.039245605 1.8030243 7.538788
2015-07-01-19 41 01.978	0.009552002 1.7958832 7.256714
2015-07-01-19 41 01.983	0.07977295 1.9077606 7.063904
2015-07-01-19 41 01.989	0.027404785 1.891098 6.7080383
2015-07-01-19 41 01.993	0.17260742 1.9363251 6.6306763
2015-07-01-19 41 01.998	0.1749878 1.9898834 6.3807373
2015-07-01-19 41 02.004	0.24282837 2.0684357 6.135559
2015-07-01-19 41 02.009	0.20831299 2.0434418 5.9891663
