2015-07-01-23 42 36.121	0.22854614 1.2031708 5.904663
2015-07-01-23 42 36.126	0.19998169 1.153183 6.65567
2015-07-01-23 42 36.131	0.0036010742 1.0520172 7.3828735
2015-07-01-23 42 36.137	-0.5593567 0.84373474 8.108887
2015-07-01-23 42 36.141	-1.1604004 0.8151703 8.763489
2015-07-01-23 42 36.146	-1.4865112 0.9520416 9.310974
2015-07-01-23 42 36.151	-1.2520447 1.1091461 9.665649
2015-07-01-23 42 36.157	-0.9521179 1.2079315 9.528778
2015-07-01-23 42 36.161	-0.7319336 1.172226 9.215759
2015-07-01-23 42 36.166	-0.6164856 1.2269745 8.782532
2015-07-01-23 42 36.172	-0.39987183 1.3662262 8.342163
2015-07-01-23 42 36.177	-0.15588379 1.6387787 8.277893
2015-07-01-23 42 36.181	-0.0642395 1.7613678 8.5373535
2015-07-01-23 42 36.186	-0.0892334 1.8470612 8.721832
2015-07-01-23 42 36.192	-0.103515625 1.8018341 8.798004
2015-07-01-23 42 36.197	-0.055908203 1.8101654 8.871796
2015-07-01-23 42 36.202	-0.20825195 1.730423 8.733734
2015-07-01-23 42 36.207	-0.3189392 1.5019073 8.655182
2015-07-01-23 42 36.212	-0.6093445 1.3055267 8.346924
2015-07-01-23 42 36.217	-0.8033447 1.2888641 7.9779663
2015-07-01-23 42 36.223	-1.0723267 1.3793182 7.788727
2015-07-01-23 42 36.227	-1.2948914 1.5090485 7.6209106
2015-07-01-23 42 36.232	-1.4162903 1.5661774 7.5506897
2015-07-01-23 42 36.237	-1.5817261 1.4840546 7.35907
2015-07-01-23 42 36.242	-1.7090759 1.6887665 7.1722107
2015-07-01-23 42 36.247	-1.8233337 2.0101166 7.025818
2015-07-01-23 42 36.252	-1.8518982 2.3814545 6.9448853
2015-07-01-23 42 36.257	-2.05661 2.7670746 6.802063
2015-07-01-23 42 36.262	-2.172058 3.155075 6.800873
2015-07-01-23 42 36.268	-2.2339478 3.5692596 6.935364
2015-07-01-23 42 36.273	-2.3493958 4.007248 7.2483826
2015-07-01-23 42 36.278	-2.3565369 4.3202667 7.769684
2015-07-01-23 42 36.282	-2.3684387 4.635666 8.381439
2015-07-01-23 42 36.287	-2.3517761 5.021286 9.196716
2015-07-01-23 42 36.293	-2.0863647 5.2926483 10.173859
2015-07-01-23 42 36.299	-2.017334 5.5449677 10.815369
2015-07-01-23 42 36.303	-1.7721558 5.4997406 11.048645
2015-07-01-23 42 36.309	-1.0604248 5.4271393 11.268829
2015-07-01-23 42 36.313	-0.08328247 5.225998 11.076019
2015-07-01-23 42 36.318	0.6439209 4.987961 10.818939
2015-07-01-23 42 36.322	1.1199951 4.860611 10.592804
2015-07-01-23 42 36.328	1.3354187 4.7475433 10.260742
2015-07-01-23 42 36.333	1.3485107 4.7880096 10.1203
2015-07-01-23 42 36.338	1.0819092 4.8058624 10.178619
2015-07-01-23 42 36.343	0.522522 4.359543 10.661835
2015-07-01-23 42 36.348	-0.16421509 3.796585 11.516388
2015-07-01-23 42 36.354	-0.61053467 3.565689 12.059113
2015-07-01-23 42 36.358	-0.9806824 3.2967072 12.035309
2015-07-01-23 42 36.363	-1.5245972 3.0063019 12.021027
2015-07-01-23 42 36.368	-2.0280457 2.5623627 12.512573
2015-07-01-23 42 36.375	-2.3791504 2.2255402 13.110046
2015-07-01-23 42 36.379	-2.6469421 1.8958588 13.160034
2015-07-01-23 42 36.383	-2.8945007 1.6161652 13.099335
2015-07-01-23 42 36.388	-3.1301575 1.4304962 12.724426
2015-07-01-23 42 36.393	-3.4300842 1.3721771 12.409027
2015-07-01-23 42 36.398	-3.5003052 1.3495636 12.0781555
2015-07-01-23 42 36.405	-3.3598633 1.5376129 11.566376
2015-07-01-23 42 36.408	-3.27417 1.71138 11.037933
2015-07-01-23 42 36.413	-3.1372986 1.9732208 10.458313
2015-07-01-23 42 36.419	-2.8218994 2.2719574 9.777527
2015-07-01-23 42 36.423	-2.4434204 2.596878 9.149109
2015-07-01-23 42 36.428	-2.1042175 2.8587189 8.369537
2015-07-01-23 42 36.433	-1.6352844 3.0051117 7.757782
2015-07-01-23 42 36.439	-0.90093994 3.0170135 7.281708
2015-07-01-23 42 36.443	-0.74264526 3.083664 6.809204
2015-07-01-23 42 36.448	-0.8461914 3.1384125 6.6437683
2015-07-01-23 42 36.454	-1.2044373 3.1693573 6.822296
2015-07-01-23 42 36.459	-1.6305237 3.3419342 7.481659
2015-07-01-23 42 36.464	-1.690033 3.333603 8.013672
2015-07-01-23 42 36.469	-1.6971741 3.3324127 8.363586
2015-07-01-23 42 36.474	-1.6400452 3.3324127 8.70636
2015-07-01-23 42 36.479	-1.7840576 3.533554 9.100311
2015-07-01-23 42 36.484	-1.523407 3.5121307 9.196716
2015-07-01-23 42 36.489	-0.8390503 3.18602 9.15506
2015-07-01-23 42 36.494	-0.2130127 2.6623383 9.041992
2015-07-01-23 42 36.499	0.06311035 2.2255402 8.857513
2015-07-01-23 42 36.504	0.4142151 2.0470123 8.677795
2015-07-01-23 42 36.509	0.6677246 1.8958588 8.606384
2015-07-01-23 42 36.514	0.80578613 1.8672943 8.477844
2015-07-01-23 42 36.520	0.91290283 1.9244232 8.558777
2015-07-01-23 42 36.525	0.46658325 1.845871 8.908691
2015-07-01-23 42 36.529	0.46658325 1.845871 8.908691
2015-07-01-23 42 36.534	0.19641113 1.8208771 9.105072
2015-07-01-23 42 36.539	-0.124938965 1.7482758 9.216949
2015-07-01-23 42 36.544	-0.3784485 1.7030487 9.319305
2015-07-01-23 42 36.549	-0.57839966 1.6732941 9.332397
2015-07-01-23 42 36.554	-0.6307678 1.6899567 9.213379
2015-07-01-23 42 36.560	-0.52841187 1.7411346 9.200287
2015-07-01-23 42 36.564	-0.368927 1.897049 9.151489
2015-07-01-23 42 36.570	-0.047576904 2.0410614 9.161011
2015-07-01-23 42 36.575	0.25234985 2.1100922 9.0312805
2015-07-01-23 42 36.580	0.41778564 2.243393 8.744446
2015-07-01-23 42 36.584	0.57489014 2.2910004 8.511169
2015-07-01-23 42 36.589	0.6617737 2.2898102 8.1588745
2015-07-01-23 42 36.595	0.63916016 2.1386566 7.775635
2015-07-01-23 42 36.600	0.471344 1.9494171 6.9472656
2015-07-01-23 42 36.605	0.3475647 1.7994537 6.378357
2015-07-01-23 42 36.610	0.23568726 1.7411346 5.954651
2015-07-01-23 42 36.615	0.14642334 1.7958832 5.6130676
2015-07-01-23 42 36.620	0.0107421875 1.9791718 5.327423
2015-07-01-23 42 36.625	-0.07852173 2.173172 5.217926
2015-07-01-23 42 36.630	0.07977295 2.4207306 5.185791
2015-07-01-23 42 36.635	0.1821289 2.621872 5.4595337
2015-07-01-23 42 36.640	0.35232544 2.7968292 6.0534363
2015-07-01-23 42 36.645	0.45587158 2.9824982 6.5794983
2015-07-01-23 42 36.650	0.56655884 3.0824738 7.0627136
2015-07-01-23 42 36.655	0.5427551 3.25029 7.6530457
2015-07-01-23 42 36.660	0.4130249 3.4323883 8.107697
2015-07-01-23 42 36.665	0.4046936 3.5347443 8.456421
2015-07-01-23 42 36.670	0.5058594 3.5764008 8.872986
2015-07-01-23 42 36.677	1.1687927 3.6525726 9.380005
2015-07-01-23 42 36.681	1.4472961 3.6787567 9.54068
2015-07-01-23 42 36.685	1.5960693 3.712082 9.965576
2015-07-01-23 42 36.690	1.8959961 3.712082 10.325012
2015-07-01-23 42 36.695	2.0578613 3.7489777 10.805847
2015-07-01-23 42 36.701	2.0519104 3.7049408 11.01889
2015-07-01-23 42 36.705	1.9924011 3.687088 11.361664
2015-07-01-23 42 36.710	1.9864502 3.5823517 11.415222
2015-07-01-23 42 36.715	1.9709778 3.3931122 11.598511
2015-07-01-23 42 36.721	2.0804749 3.1753082 11.518768
2015-07-01-23 42 36.725	2.0602417 2.897995 11.3723755
2015-07-01-23 42 36.730	2.0769043 2.640915 11.024841
2015-07-01-23 42 36.736	1.9590759 2.4730988 10.843933
2015-07-01-23 42 36.741	1.9888306 2.2457733 10.470215
2015-07-01-23 42 36.745	2.0162048 1.9220428 10.220276
2015-07-01-23 42 36.751	1.9376526 1.4983368 9.978668
2015-07-01-23 42 36.756	1.6270142 0.94132996 9.958435
2015-07-01-23 42 36.761	1.6127319 0.871109 9.79538
2015-07-01-23 42 36.766	1.7781677 0.9472809 9.7323
2015-07-01-23 42 36.771	1.9197998 1.0841522 9.596619
2015-07-01-23 42 36.776	2.1435547 1.249588 9.271698
2015-07-01-23 42 36.781	2.1792603 1.3757477 8.7742
2015-07-01-23 42 36.786	2.0269165 1.4435883 8.295746
2015-07-01-23 42 36.791	1.805542 1.4554901 7.93869
2015-07-01-23 42 36.796	1.4770508 1.4626312 7.778015
2015-07-01-23 42 36.801	1.330658 1.4400177 7.9101257
2015-07-01-23 42 36.806	1.1545105 1.3209991 8.082703
2015-07-01-23 42 36.811	1.1295166 1.0984344 8.304077
2015-07-01-23 42 36.816	1.1009521 0.85920715 8.568298
2015-07-01-23 42 36.822	1.0604858 0.5354767 8.984863
2015-07-01-23 42 36.827	1.0247803 0.29981995 9.4930725
2015-07-01-23 42 36.831	0.9736023 0.020126343 10.086975
2015-07-01-23 42 36.838	0.9497986 -0.08699036 10.524963
2015-07-01-23 42 36.842	0.8926697 -0.20362854 11.0581665
2015-07-01-23 42 36.851	0.785553 -0.37739563 11.510437
2015-07-01-23 42 36.853	0.66415405 -0.48332214 11.84845
2015-07-01-23 42 36.857	0.5844116 -0.5356903 11.97937
2015-07-01-23 42 36.862	0.38446045 -0.61543274 12.567322
2015-07-01-23 42 36.866	-0.045196533 -0.89512634 13.411163
2015-07-01-23 42 36.872	-0.4760437 -1.0843658 14.03244
