2015-07-02-18 13 32.344	-5.0534973 1.3543243 1.2296143
2015-07-02-18 13 32.350	-5.057068 1.2805328 1.1796265
2015-07-02-18 13 32.355	-4.929718 1.1281891 1.1677246
2015-07-02-18 13 32.360	-4.7607117 1.0912933 1.1927185
2015-07-02-18 13 32.365	-4.68454 1.0139313 1.2700806
2015-07-02-18 13 32.370	-4.6773987 0.9556122 1.4378967
2015-07-02-18 13 32.375	-4.5488586 0.9199066 1.567627
2015-07-02-18 13 32.379	-4.385803 0.78660583 1.6497498
2015-07-02-18 13 32.385	-4.242981 0.68782043 1.7854309
2015-07-02-18 13 32.391	-4.1810913 0.60450745 1.8699341
2015-07-02-18 13 32.395	-3.9716187 0.5033417 1.9008789
2015-07-02-18 13 32.400	-3.890686 0.44859314 1.8830261
2015-07-02-18 13 32.405	-3.9918518 0.3855133 1.9556274
2015-07-02-18 13 32.410	-3.9632874 0.33790588 1.9687195
2015-07-02-18 13 32.415	-3.9775696 0.3283844 2.0222778
2015-07-02-18 13 32.420	-4.007324 0.30577087 1.9949036
2015-07-02-18 13 32.425	-4.088257 0.2534027 1.9865723
2015-07-02-18 13 32.430	-4.058502 0.15699768 1.9496765
2015-07-02-18 13 32.435	-4.231079 0.19032288 1.8366089
2015-07-02-18 13 32.440	-4.3346252 0.20579529 1.747345
2015-07-02-18 13 32.445	-4.403656 0.051071167 1.6854553
2015-07-02-18 13 32.450	-4.488159 -0.047714233 1.5331116
2015-07-02-18 13 32.456	-4.801178 -0.13816833 1.497406
2015-07-02-18 13 32.460	-5.3248596 -0.18815613 1.3843384
2015-07-02-18 13 32.465	-5.5938416 -0.15245056 1.2498474
2015-07-02-18 13 32.472	-6.2222595 -0.38334656 0.8904114
2015-07-02-18 13 32.476	-6.623352 -0.5702057 0.68688965
2015-07-02-18 13 32.480	-6.623352 -0.5702057 0.68688965
2015-07-02-18 13 32.485	-7.098236 -0.65708923 0.6107178
2015-07-02-18 13 32.491	-7.5885925 -0.8998871 0.4357605
2015-07-02-18 13 32.496	-7.9361267 -1.0617523 0.27746582
2015-07-02-18 13 32.500	-8.289612 -1.2581329 0.32507324
2015-07-02-18 13 32.505	-8.666901 -1.4711761 0.22747803
2015-07-02-18 13 32.510	-8.939453 -1.6675568 0.11679077
2015-07-02-18 13 32.518	-9.146545 -1.9365387 -0.015319824
2015-07-02-18 13 32.521	-9.381012 -2.2031403 -0.07839966
2015-07-02-18 13 32.527	-9.402435 -2.4054718 -0.3807068
2015-07-02-18 13 32.533	-9.565491 -2.983902 -1.1376648
2015-07-02-18 13 32.536	-9.571442 -3.2576447 -1.4744873
2015-07-02-18 13 32.541	-9.509552 -3.599228 -1.9969788
2015-07-02-18 13 32.546	-9.440521 -3.9729462 -2.414734
2015-07-02-18 13 32.551	-9.571442 -4.3204803 -2.7884521
2015-07-02-18 13 32.556	-9.697601 -4.7715607 -3.0550537
2015-07-02-18 13 32.561	-9.797577 -5.2333527 -3.3442688
2015-07-02-18 13 32.566	-9.835663 -5.658249 -3.4132996
2015-07-02-18 13 32.571	-9.9939575 -6.0736237 -3.5037537
2015-07-02-18 13 32.576	-10.185577 -6.5544586 -3.6180115
2015-07-02-18 13 32.581	-10.342682 -7.0222015 -3.7453613
2015-07-02-18 13 32.586	-10.816376 -7.319748 -4.0214844
2015-07-02-18 13 32.591	-11.299591 -7.744644 -4.1262207
2015-07-02-18 13 32.597	-11.830414 -8.210007 -4.3678284
2015-07-02-18 13 32.601	-12.507629 -8.577774 -4.538025
2015-07-02-18 13 32.606	-13.15152 -8.968155 -4.7808228
2015-07-02-18 13 32.611	-13.877533 -9.312119 -5.065277
2015-07-02-18 13 32.617	-14.603546 -9.509689 -5.1438293
2015-07-02-18 13 32.622	-15.416443 -9.654892 -5.322357
2015-07-02-18 13 32.626	-16.17221 -9.628708 -5.366394
2015-07-02-18 13 32.631	-16.885132 -9.653702 -5.4259033
2015-07-02-18 13 32.637	-17.459991 -9.464462 -5.3901978
2015-07-02-18 13 32.641	-18.002716 -9.32164 -5.2092896
2015-07-02-18 13 32.646	-18.40976 -9.044327 -4.987915
2015-07-02-18 13 32.652	-18.73349 -8.6575165 -4.7391663
2015-07-02-18 13 32.658	-18.819183 -8.23381 -4.4761353
2015-07-02-18 13 32.662	-18.877502 -7.794632 -4.1452637
2015-07-02-18 13 32.667	-18.960815 -7.403061 -3.775116
2015-07-02-18 13 32.672	-19.078644 -7.166214 -3.468048
2015-07-02-18 13 32.678	-19.18695 -7.0341034 -3.0931396
2015-07-02-18 13 32.682	-19.258362 -6.9460297 -2.8396301
2015-07-02-18 13 32.687	-19.25241 -6.941269 -2.4968567
2015-07-02-18 13 32.692	-18.956055 -6.800827 -2.2504883
2015-07-02-18 13 32.697	-18.556152 -6.5723114 -1.9291382
2015-07-02-18 13 32.702	-17.952728 -6.2973785 -1.4780579
2015-07-02-18 13 32.707	-17.212433 -5.877243 -1.0852966
2015-07-02-18 13 32.714	-16.306702 -5.4642487 -0.52233887
2015-07-02-18 13 32.719	-15.489044 -4.971512 -0.0022277832
2015-07-02-18 13 32.723	-14.658295 -4.5858917 0.4524231
2015-07-02-18 13 32.727	-13.979889 -4.246689 0.8618469
2015-07-02-18 13 32.733	-13.314575 -4.099106 1.247467
2015-07-02-18 13 32.738	-12.89563 -3.9562836 1.5331116
2015-07-02-18 13 32.742	-12.374329 -3.9943695 1.9437256
2015-07-02-18 13 32.747	-12.600464 -4.0729218 2.0020447
2015-07-02-18 13 32.753	-12.659973 -4.376419 2.2019958
2015-07-02-18 13 32.757	-12.857544 -4.6739655 2.203186
2015-07-02-18 13 32.762	-13.158661 -4.972702 2.0841675
2015-07-02-18 13 32.767	-13.676392 -5.2500153 1.9663391
2015-07-02-18 13 32.774	-14.096527 -5.561844 1.6890259
2015-07-02-18 13 32.778	-14.389313 -5.8236847 1.4283752
2015-07-02-18 13 32.782	-14.597595 -6.023636 1.1629639
2015-07-02-18 13 32.787	-14.69281 -6.1438446 0.9046936
2015-07-02-18 13 32.792	-14.676147 -6.102188 0.5762024
2015-07-02-18 13 32.798	-14.361938 -5.9581757 0.32626343
2015-07-02-18 13 32.802	-13.854919 -5.723709 0.094177246
2015-07-02-18 13 32.807	-13.044403 -5.3785553 -0.15457153
2015-07-02-18 13 32.812	-12.408844 -5.0262604 -0.478302
2015-07-02-18 13 32.818	-12.029175 -4.658493 -0.5544739
2015-07-02-18 13 32.822	-11.55191 -4.4383087 -0.7841797
2015-07-02-18 13 32.827	-11.144867 -4.1490936 -0.81155396
2015-07-02-18 13 32.833	-10.518829 -3.8658295 -0.9567566
2015-07-02-18 13 32.838	-10.262939 -3.6623077 -1.0495911
2015-07-02-18 13 32.843	-10.105835 -3.5516205 -1.0412598
2015-07-02-18 13 32.848	-9.964203 -3.3707123 -1.0852966
2015-07-02-18 13 32.853	-9.653564 -3.233841 -1.1412354
2015-07-02-18 13 32.858	-9.291748 -2.9827118 -1.1947937
2015-07-02-18 13 32.863	-8.877563 -2.7173004 -1.2019348
2015-07-02-18 13 32.868	-8.449097 -2.425705 -1.1424255
2015-07-02-18 13 32.873	-8.14679 -2.124588 -1.1186218
2015-07-02-18 13 32.879	-7.731415 -1.7984772 -1.1031494
2015-07-02-18 13 32.883	-7.4802856 -1.4866486 -1.036499
2015-07-02-18 13 32.888	-7.2041626 -1.2926483 -1.1055298
2015-07-02-18 13 32.893	-6.9339905 -1.1700592 -1.0983887
2015-07-02-18 13 32.899	-6.73999 -1.0177155 -1.2150269
2015-07-02-18 13 32.903	-6.4721985 -0.9820099 -1.3768921
2015-07-02-18 13 32.908	-6.217499 -0.8891754 -1.466156
2015-07-02-18 13 32.913	-5.9449463 -0.87013245 -1.6220703
2015-07-02-18 13 32.919	-5.7211914 -0.8391876 -1.8065491
2015-07-02-18 13 32.923	-5.531952 -0.8165741 -1.831543
2015-07-02-18 13 32.928	-5.3629456 -0.8725128 -1.9017639
2015-07-02-18 13 32.934	-5.2010803 -0.87727356 -1.9898376
2015-07-02-18 13 32.939	-5.0749207 -0.93440247 -1.9660339
2015-07-02-18 13 32.943	-4.9892273 -1.0165253 -2.0005493
2015-07-02-18 13 32.949	-4.845215 -1.1153107 -1.9898376
2015-07-02-18 13 32.954	-4.7071533 -1.1855316 -1.9898376
2015-07-02-18 13 32.959	-4.545288 -1.3831024 -1.9588928
2015-07-02-18 13 32.964	-4.4893494 -1.4878387 -2.0136414
2015-07-02-18 13 32.969	-4.2965393 -1.6223297 -1.9862671
