2015-07-02-18 11 50.318	-3.3098755 2.0874786 6.8115845
2015-07-02-18 11 50.323	-3.1646729 2.1267548 6.3057556
2015-07-02-18 11 50.328	-2.9944763 2.1743622 5.745178
2015-07-02-18 11 50.333	-2.831421 2.1362762 5.2143555
2015-07-02-18 11 50.338	-2.6802673 2.102951 4.8489685
2015-07-02-18 11 50.344	-2.4672241 2.1231842 4.4383545
2015-07-02-18 11 50.348	-2.3470154 2.1743622 4.101532
2015-07-02-18 11 50.353	-2.0982666 2.2124481 3.4957275
2015-07-02-18 11 50.358	-1.4698486 2.089859 3.171997
2015-07-02-18 11 50.363	-1.9863892 2.0470123 3.6385498
2015-07-02-18 11 50.368	-2.7135925 1.9672699 4.1431885
2015-07-02-18 11 50.373	-2.8742676 2.0113068 4.428833
2015-07-02-18 11 50.378	-2.3624878 2.0862885 4.234833
2015-07-02-18 11 50.383	-2.074463 2.179123 3.9872742
2015-07-02-18 11 50.389	-1.9994812 2.0589142 3.8242188
2015-07-02-18 11 50.393	-2.0839844 1.9732208 3.8182678
2015-07-02-18 11 50.398	-2.0958862 1.8339691 4.000366
2015-07-02-18 11 50.403	-2.0792236 1.7589874 4.1824646
2015-07-02-18 11 50.409	-1.7566833 1.6899567 4.1122437
2015-07-02-18 11 50.413	-1.324646 1.7125702 4.049164
2015-07-02-18 11 50.418	-1.0128174 1.8054047 4.102722
2015-07-02-18 11 50.424	-0.9890137 1.743515 4.0420227
2015-07-02-18 11 50.429	-1.0366211 1.794693 4.1574707
2015-07-02-18 11 50.434	-1.1008911 1.7542267 4.1562805
2015-07-02-18 11 50.439	-1.0628052 1.7137604 4.2776794
2015-07-02-18 11 50.446	-1.0723267 1.6851959 4.338379
2015-07-02-18 11 50.450	-1.2210999 1.6316376 4.241974
2015-07-02-18 11 50.454	-1.3674927 1.5269012 4.293152
2015-07-02-18 11 50.459	-1.4222412 1.480484 4.333618
2015-07-02-18 11 50.464	-1.5781555 1.4447784 4.4633484
2015-07-02-18 11 50.469	-1.5781555 1.3983612 4.79303
2015-07-02-18 11 50.474	-1.5484009 1.3019562 5.24292
2015-07-02-18 11 50.479	-1.4936523 1.3376617 5.711853
2015-07-02-18 11 50.484	-1.2353821 1.3412323 6.385498
2015-07-02-18 11 50.490	-1.061615 1.4721527 7.071045
2015-07-02-18 11 50.494	-0.72003174 1.6685333 7.772064
2015-07-02-18 11 50.499	-0.7140808 1.7613678 8.349304
2015-07-02-18 11 50.504	-0.63671875 1.9196625 7.770874
2015-07-02-18 11 50.510	-0.9806824 2.0303497 8.216003
2015-07-02-18 11 50.514	-0.045196533 1.9470367 8.1779175
2015-07-02-18 11 50.519	0.29162598 1.9994049 8.085083
2015-07-02-18 11 50.524	0.6177368 2.114853 8.055328
2015-07-02-18 11 50.530	0.86291504 2.263626 7.9422607
2015-07-02-18 11 50.534	1.112854 2.4338226 7.758972
2015-07-02-18 11 50.539	1.6543884 2.7301788 7.868469
2015-07-02-18 11 50.544	2.04953 3.0015411 7.9589233
2015-07-02-18 11 50.550	2.1566467 3.3097992 8.117218
2015-07-02-18 11 50.554	2.3339844 3.501419 8.370728
2015-07-02-18 11 50.559	2.4363403 3.6668549 8.675415
2015-07-02-18 11 50.565	2.5767822 3.7942047 9.005096
2015-07-02-18 11 50.570	2.761261 4.007248 9.341919
2015-07-02-18 11 50.575	2.9802551 4.14769 9.722778
2015-07-02-18 11 50.579	2.844574 4.245285 10.114349
2015-07-02-18 11 50.585	3.0409546 4.4285736 10.5321045
2015-07-02-18 11 50.590	3.3277893 4.5249786 10.918915
2015-07-02-18 11 50.596	2.9969177 4.635666 11.358093
2015-07-02-18 11 50.600	2.428009 4.59758 11.756805
2015-07-02-18 11 50.605	1.869812 4.592819 12.280487
2015-07-02-18 11 50.610	2.2661438 4.59758 12.927948
2015-07-02-18 11 50.615	1.523468 4.295273 13.420685
2015-07-02-18 11 50.620	0.18331909 4.1453094 14.116943
2015-07-02-18 11 50.625	-0.35821533 3.7620697 14.8810425
2015-07-02-18 11 50.630	-0.090423584 3.9025116 15.627289
2015-07-02-18 11 50.635	-0.52841187 4.0429535 16.154541
2015-07-02-18 11 50.640	-0.4831848 4.14888 16.763916
