2015-07-09-12 08 42.330	-0.25585938 -1.5997162 8.608765
2015-07-09-12 08 42.336	-0.32608032 -1.6151886 8.508789
2015-07-09-12 08 42.341	-0.3022766 -1.6758881 8.51712
2015-07-09-12 08 42.346	-0.2451477 -1.6568451 8.376678
2015-07-09-12 08 42.351	-0.21420288 -1.7080231 8.343353
2015-07-09-12 08 42.356	-0.1630249 -1.6342316 8.367157
2015-07-09-12 08 42.361	-0.21182251 -1.6247101 8.400482
2015-07-09-12 08 42.366	-0.25942993 -1.5652008 8.45166
2015-07-09-12 08 42.372	-0.31774902 -1.5045013 8.557587
2015-07-09-12 08 42.376	-0.43914795 -1.3747711 8.637329
2015-07-09-12 08 42.381	-0.52960205 -1.2545624 8.793243
2015-07-09-12 08 42.386	-0.6069641 -1.1510162 8.790863
2015-07-09-12 08 42.391	-0.7212219 -1.0331879 8.759918
2015-07-09-12 08 42.396	-0.8033447 -0.9213104 8.783722
2015-07-09-12 08 42.402	-0.84143066 -0.95344543 8.719452
2015-07-09-12 08 42.407	-0.84143066 -0.95939636 8.664703
2015-07-09-12 08 42.411	-0.80215454 -1.0260468 8.609955
2015-07-09-12 08 42.417	-0.7902527 -1.0391388 8.454041
2015-07-09-12 08 42.422	-0.6795654 -1.104599 8.352875
2015-07-09-12 08 42.427	-0.48080444 -1.0772247 8.243378
2015-07-09-12 08 42.431	-0.29870605 -1.0629425 8.216003
2015-07-09-12 08 42.436	-0.14993286 -0.8820343 8.218384
2015-07-09-12 08 42.441	0.0178833 -0.7665863 8.175537
2015-07-09-12 08 42.447	0.16903687 -0.6166229 8.095795
2015-07-09-12 08 42.451	0.24163818 -0.41786194 8.149353
2015-07-09-12 08 42.456	0.38208008 -0.22743225 8.155304
2015-07-09-12 08 42.462	0.3808899 -0.0667572 8.116028
2015-07-09-12 08 42.467	0.40350342 0.037979126 8.199341
2015-07-09-12 08 42.471	0.43920898 0.099868774 8.240997
2015-07-09-12 08 42.477	0.39041138 0.1391449 8.154114
2015-07-09-12 08 42.482	0.43563843 0.11534119 8.12912
2015-07-09-12 08 42.487	0.4951477 0.07606506 8.230286
2015-07-09-12 08 42.492	0.5118103 0.061782837 8.25528
2015-07-09-12 08 42.497	0.43563843 0.048690796 8.335022
2015-07-09-12 08 42.502	0.43325806 0.020126343 8.405243
2015-07-09-12 08 42.507	0.36660767 -0.046524048 8.486176
2015-07-09-12 08 42.512	0.32138062 0.009414673 8.38501
2015-07-09-12 08 42.517	0.2654419 -0.056045532 8.399292
2015-07-09-12 08 42.524	0.03930664 -0.013198853 8.25647
2015-07-09-12 08 42.528	0.03930664 -0.013198853 8.25647
2015-07-09-12 08 42.532	-0.0023498535 0.04988098 8.168396
2015-07-09-12 08 42.537	-0.039245605 -0.007247925 8.039856
2015-07-09-12 08 42.543	-0.052337646 0.123672485 7.867279
2015-07-09-12 08 42.548	0.032165527 0.09510803 7.8637085
2015-07-09-12 08 42.552	0.11190796 0.13795471 7.7482605
2015-07-09-12 08 42.565	0.14523315 0.16175842 7.8006287
2015-07-09-12 08 42.566	0.15356445 0.1879425 7.80777
2015-07-09-12 08 42.568	0.15951538 0.2629242 7.892273
2015-07-09-12 08 42.572	0.21664429 0.3212433 7.9422607
2015-07-09-12 08 42.578	0.2642517 0.33433533 8.104126
2015-07-09-12 08 42.583	0.2892456 0.32243347 8.280273
2015-07-09-12 08 42.588	0.32733154 0.25221252 8.45285
2015-07-09-12 08 42.593	0.45111084 0.22483826 8.718262
2015-07-09-12 08 42.598	0.4951477 0.07963562 8.984863
2015-07-09-12 08 42.603	0.57250977 -0.12745667 9.28479
2015-07-09-12 08 42.608	0.6843872 -0.33454895 9.579956
2015-07-09-12 08 42.612	0.9152832 -0.5713959 9.829895
2015-07-09-12 08 42.618	0.9497986 -0.80229187 10.220276
2015-07-09-12 08 42.623	1.0628662 -1.2914581 10.865356
2015-07-09-12 08 42.628	1.0628662 -1.2914581 10.865356
2015-07-09-12 08 42.633	1.0688171 -1.5806732 11.155762
2015-07-09-12 08 42.638	1.0866699 -1.7794342 11.394989
2015-07-09-12 08 42.643	1.209259 -2.0365143 11.78894
2015-07-09-12 08 42.648	1.209259 -2.0365143 11.78894
2015-07-09-12 08 42.653	1.27948 -2.0139008 11.818695
2015-07-09-12 08 42.658	1.311615 -2.0496063 12.124573
2015-07-09-12 08 42.663	1.2675781 -1.9686737 12.182892
2015-07-09-12 08 42.668	1.2687683 -2.0115204 12.147186
2015-07-09-12 08 42.674	1.2009277 -1.9424896 12.181702
2015-07-09-12 08 42.678	1.1878357 -1.8508453 12.292389
2015-07-09-12 08 42.683	1.2497253 -1.8091888 12.184082
2015-07-09-12 08 42.689	1.298523 -1.7282562 12.153137
2015-07-09-12 08 42.693	1.3425598 -1.7056427 12.081726
2015-07-09-12 08 42.698	1.4925232 -1.7711029 12.076965
2015-07-09-12 08 42.703	1.5901184 -1.778244 12.048401
2015-07-09-12 08 42.709	1.8341064 -1.8556061 11.874634
2015-07-09-12 08 42.713	1.8876648 -1.990097 11.754425
2015-07-09-12 08 42.719	1.9245605 -2.1543427 11.636597
2015-07-09-12 08 42.724	1.7900696 -2.3542938 11.562805
2015-07-09-12 08 42.729	1.6734314 -2.4554596 11.429504
2015-07-09-12 08 42.733	1.3425598 -2.5447235 11.380707
2015-07-09-12 08 42.738	1.0973816 -2.676834 11.369995
2015-07-09-12 08 42.744	0.8236389 -2.6720734 11.453308
2015-07-09-12 08 42.749	0.6177368 -2.772049 11.493774
2015-07-09-12 08 42.753	0.33685303 -2.9232025 11.499725
2015-07-09-12 08 42.759	0.13690186 -3.002945 11.623505
2015-07-09-12 08 42.764	0.029785156 -3.1481476 11.675873
2015-07-09-12 08 42.769	-0.0975647 -3.2457428 11.665161
2015-07-09-12 08 42.774	-0.26657104 -3.4111786 11.753235
2015-07-09-12 08 42.779	-0.47485352 -3.4813995 11.838928
2015-07-09-12 08 42.784	-0.5177002 -3.5301971 11.900818
2015-07-09-12 08 42.789	-0.5403137 -3.5885162 12.016266
2015-07-09-12 08 42.794	-0.50341797 -3.6016083 12.021027
2015-07-09-12 08 42.799	-0.45581055 -3.5908966 12.04245
2015-07-09-12 08 42.804	-0.39630127 -3.6170807 12.084106
2015-07-09-12 08 42.809	-0.32131958 -3.670639 12.099579
2015-07-09-12 08 42.814	-0.0725708 -3.6480255 12.060303
2015-07-09-12 08 42.819	0.20117188 -3.6587372 12.036499
2015-07-09-12 08 42.826	0.503479 -3.6087494 11.935333
2015-07-09-12 08 42.830	0.8641052 -3.5468597 12.003174
2015-07-09-12 08 42.834	1.15094 -3.4790192 11.973419
2015-07-09-12 08 42.839	1.5651245 -3.3219147 11.985321
2015-07-09-12 08 42.844	1.9197998 -3.138626 12.000793
2015-07-09-12 08 42.850	2.2578125 -3.0243683 11.873444
2015-07-09-12 08 42.854	2.5291748 -2.804184 11.685394
2015-07-09-12 08 42.859	2.7398376 -2.6601715 11.53067
2015-07-09-12 08 42.864	2.780304 -2.5340118 11.4045105
2015-07-09-12 08 42.870	2.7791138 -2.3293 10.899872
2015-07-09-12 08 42.874	2.6160583 -2.1805267 10.635651
2015-07-09-12 08 42.879	2.4256287 -1.9865265 10.290497
2015-07-09-12 08 42.885	2.203064 -1.8401337 9.916779
2015-07-09-12 08 42.890	1.9935913 -1.6342316 9.595428
2015-07-09-12 08 42.895	1.8721924 -1.5449677 9.21814
2015-07-09-12 08 42.900	1.6246338 -1.3854828 8.821808
2015-07-09-12 08 42.905	1.4187317 -1.3176422 8.461182
2015-07-09-12 08 42.911	1.2711487 -1.2878876 7.9851074
2015-07-09-12 08 42.915	1.2128296 -1.2700348 7.732788
