2015-06-14-11:32:15.014	-0.71884155 2.2076874 9.677551
2015-06-14-11:32:15.018	-0.683136 2.1648407 9.776337
2015-06-14-11:32:15.023	-0.67004395 2.1910248 9.754913
2015-06-14-11:32:15.028	-0.6307678 2.1743622 9.677551
2015-06-14-11:32:15.034	-0.5855408 2.192215 9.688263
2015-06-14-11:32:15.038	-0.5974426 2.1588898 9.718018
2015-06-14-11:32:15.043	-0.57839966 2.1565094 9.7561035
2015-06-14-11:32:15.049	-0.59506226 2.1136627 9.758484
2015-06-14-11:32:15.054	-0.53912354 2.1077118 9.765625
2015-06-14-11:32:15.058	-0.52008057 2.1172333 9.7323
2015-06-14-11:32:15.064	-0.46414185 2.0993805 9.784668
2015-06-14-11:32:15.069	-0.5331726 2.1338959 9.728729
2015-06-14-11:32:15.074	-0.54626465 2.1267548 9.721588
2015-06-14-11:32:15.079	-0.5569763 2.0743866 9.803711
2015-06-14-11:32:15.084	-0.49389648 2.063675 9.829895
2015-06-14-11:32:15.089	-0.4927063 2.0565338 9.740631
2015-06-14-11:32:15.094	-0.484375 2.0434418 9.766815
2015-06-14-11:32:15.100	-0.47128296 2.0553436 9.684692
2015-06-14-11:32:15.104	-0.50460815 2.0886688 9.645416
2015-06-14-11:32:15.109	-0.5843506 2.0696259 9.651367
2015-06-14-11:32:15.114	-0.5903015 2.0731964 9.693024
2015-06-14-11:32:15.119	-0.54745483 2.121994 9.651367
2015-06-14-11:32:15.124	-0.5177002 2.0529633 9.687073
2015-06-14-11:32:15.129	-0.43676758 2.064865 9.6918335
2015-06-14-11:32:15.134	-0.43795776 2.0684357 9.697784
2015-06-14-11:32:15.139	-0.4093933 2.0243988 9.763245
2015-06-14-11:32:15.145	-0.37368774 2.044632 9.810852
2015-06-14-11:32:15.150	-0.34155273 2.03154 9.869171
2015-06-14-11:32:15.155	-0.3617859 2.0303497 9.8715515
2015-06-14-11:32:15.159	-0.35702515 2.0220184 9.858459
2015-06-14-11:32:15.164	-0.42843628 2.0339203 9.917969
2015-06-14-11:32:15.169	-0.43081665 2.0422516 9.935822
2015-06-14-11:32:15.175	-0.40820313 2.063675 9.909637
2015-06-14-11:32:15.179	-0.39035034 2.0815277 9.853699
