2015-07-10-13 10 29.979	-6.449585 5.829422 2.0401306
2015-07-10-13 10 29.986	-6.142517 4.9463043 1.2879333
2015-07-10-13 10 29.990	-5.974701 4.5118866 1.0975037
2015-07-10-13 10 29.994	-5.974701 4.5118866 1.0975037
2015-07-10-13 10 29.999	-5.8366394 3.9810638 0.85946655
2015-07-10-13 10 30.004	-5.674774 3.5787811 0.80114746
2015-07-10-13 10 30.010	-5.6188354 3.2276764 0.79400635
2015-07-10-13 10 30.014	-5.685486 2.9717865 0.8463745
2015-07-10-13 10 30.020	-5.7723694 2.7801666 1.2248535
2015-07-10-13 10 30.025	-5.950897 2.6718597 1.5021667
2015-07-10-13 10 30.030	-6.179413 2.5123749 1.9627686
2015-07-10-13 10 30.035	-6.576935 2.404068 2.4424133
2015-07-10-13 10 30.040	-6.8375854 2.269577 2.9744263
2015-07-10-13 10 30.045	-7.0625305 2.2850494 3.4100342
2015-07-10-13 10 30.050	-7.2803345 2.2076874 3.774231
2015-07-10-13 10 30.055	-7.656433 1.8530121 3.8944397
2015-07-10-13 10 30.060	-8.065857 1.397171 3.8801575
2015-07-10-13 10 30.065	-7.9349365 0.9710846 3.7278137
2015-07-10-13 10 30.070	-7.482666 0.71281433 3.3410034
2015-07-10-13 10 30.075	-7.0375366 0.53785706 3.0601196
2015-07-10-13 10 30.080	-5.7283325 0.17723083 2.5733337
2015-07-10-13 10 30.085	-5.2486877 -0.26194763 2.9351501
2015-07-10-13 10 30.090	-4.995178 -0.80348206 2.8208923
2015-07-10-13 10 30.095	-4.9904175 -1.1593475 2.7625732
2015-07-10-13 10 30.100	-4.9785156 -1.4295197 2.7494812
2015-07-10-13 10 30.105	-4.9642334 -1.6675568 2.9113464
2015-07-10-13 10 30.111	-4.832123 -2.0531769 2.9577637
2015-07-10-13 10 30.115	-4.6571655 -2.4054718 3.1160583
2015-07-10-13 10 30.120	-4.552429 -2.8470306 3.2017517
2015-07-10-13 10 30.125	-4.6512146 -3.4230804 3.1541443
2015-07-10-13 10 30.131	-5.090393 -3.9991302 3.0732117
2015-07-10-13 10 30.137	-5.5283813 -4.4894867 2.7661438
2015-07-10-13 10 30.140	-5.9723206 -5.0988617 2.543579
2015-07-10-13 10 30.145	-6.252014 -5.613022 2.2698364
2015-07-10-13 10 30.151	-6.520996 -6.17717 1.9830017
2015-07-10-13 10 30.155	-6.8970947 -6.686569 1.6568909
2015-07-10-13 10 30.160	-7.5231323 -7.20549 1.1391602
2015-07-10-13 10 30.166	-8.157501 -7.58992 0.57144165
2015-07-10-13 10 30.171	-8.66571 -7.955307 -0.011749268
2015-07-10-13 10 30.176	-9.441711 -8.174301 -0.63183594
2015-07-10-13 10 30.181	-9.985626 -8.218338 -1.3852234
2015-07-10-13 10 30.186	-10.4617 -8.204056 -2.0933838
2015-07-10-13 10 30.191	-10.77948 -8.113602 -2.9526978
2015-07-10-13 10 30.196	-11.03775 -8.032669 -3.6239624
2015-07-10-13 10 30.201	-11.276978 -7.889847 -4.3416443
2015-07-10-13 10 30.206	-11.468597 -7.7327423 -4.992676
2015-07-10-13 10 30.211	-11.61142 -7.556595 -5.544922
2015-07-10-13 10 30.216	-11.607849 -7.3161774 -5.9721985
