2015-06-30-20 33 19.396	1.2759094 -0.7915802 10.1203
2015-06-30-20 33 19.401	1.2021179 -0.68208313 9.841797
2015-06-30-20 33 19.406	1.0795288 -0.53330994 9.627563
2015-06-30-20 33 19.412	1.0116882 -0.43452454 9.232422
2015-06-30-20 33 19.416	0.81173706 -0.25242615 8.831329
2015-06-30-20 33 19.421	0.65463257 -0.17982483 8.395721
2015-06-30-20 33 19.426	0.49871826 -0.08103943 8.0112915
2015-06-30-20 33 19.431	0.29995728 0.018936157 7.572113
2015-06-30-20 33 19.437	0.15713501 0.0974884 7.052002
2015-06-30-20 33 19.442	-0.06542969 0.1879425 6.602112
2015-06-30-20 33 19.447	-0.28204346 0.26054382 6.256958
2015-06-30-20 33 19.451	-0.39987183 0.34742737 5.896332
2015-06-30-20 33 19.456	-0.5938721 0.4271698 5.5345154
2015-06-30-20 33 19.461	-0.7069397 0.5319061 5.2536316
2015-06-30-20 33 19.467	-0.8652344 0.5937958 5.026306
2015-06-30-20 33 19.471	-0.99972534 0.691391 4.8120728
2015-06-30-20 33 19.476	-1.1151733 0.81159973 4.652588
2015-06-30-20 33 19.482	-1.196106 0.9270477 4.4252625
2015-06-30-20 33 19.487	-1.22229 1.0436859 4.376465
2015-06-30-20 33 19.491	-1.2841797 1.1222382 4.3407593
2015-06-30-20 33 19.496	-1.2984619 1.2424469 4.1884155
2015-06-30-20 33 19.502	-1.3127441 1.3495636 4.231262
2015-06-30-20 33 19.507	-1.2258606 1.435257 4.350281
2015-06-30-20 33 19.511	-1.2877502 1.4745331 4.441925
2015-06-30-20 33 19.517	-1.2080078 1.5388031 4.5145264
2015-06-30-20 33 19.522	-1.1853943 1.5304718 4.716858
2015-06-30-20 33 19.527	-1.0854187 1.5566559 4.8501587
2015-06-30-20 33 19.532	-0.946167 1.5745087 5.0858154
2015-06-30-20 33 19.537	-0.7962036 1.5721283 5.358368
2015-06-30-20 33 19.544	-0.57839966 1.4245453 5.738037
2015-06-30-20 33 19.548	-0.57839966 1.4245453 5.738037
2015-06-30-20 33 19.552	-0.45343018 1.3102875 5.890381
2015-06-30-20 33 19.557	-0.43081665 1.1817474 6.1831665
2015-06-30-20 33 19.562	-0.368927 1.0365448 6.390259
2015-06-30-20 33 19.567	-0.31536865 0.7913666 6.508087
2015-06-30-20 33 19.572	-0.31536865 0.62831116 6.794922
2015-06-30-20 33 19.577	-0.29989624 0.32600403 6.937744
2015-06-30-20 33 19.582	-0.32489014 0.070114136 7.284088
2015-06-30-20 33 19.588	-0.38916016 -0.14649963 7.5030823
2015-06-30-20 33 19.592	-0.484375 -0.44761658 7.8256226
2015-06-30-20 33 19.597	-0.59506226 -0.6535187 8.12793
2015-06-30-20 33 19.602	-0.74264526 -0.90940857 8.481415
2015-06-30-20 33 19.608	-0.978302 -1.0974579 8.806335
2015-06-30-20 33 19.612	-1.0794678 -1.2688446 9.109833
2015-06-30-20 33 19.617	-1.2115784 -1.5045013 9.488312
2015-06-30-20 33 19.623	-1.3853455 -1.6699371 9.752533
2015-06-30-20 33 19.628	-1.4603271 -1.797287 10.0703125
2015-06-30-20 33 19.632	-1.3782043 -1.912735 10.421417
2015-06-30-20 33 19.638	-1.2960815 -1.8722687 10.726105
2015-06-30-20 33 19.643	-1.1461182 -1.8056183 11.012939
2015-06-30-20 33 19.648	-0.96759033 -1.7282562 11.4366455
2015-06-30-20 33 19.653	-0.7962036 -1.6746979 11.749664
2015-06-30-20 33 19.658	-0.5914917 -1.6449432 12.04007
2015-06-30-20 33 19.663	-0.42486572 -1.630661 12.210266
2015-06-30-20 33 19.668	-0.25585938 -1.5687714 12.338806
2015-06-30-20 33 19.673	-0.124938965 -1.6211395 12.455444
2015-06-30-20 33 19.678	-0.029724121 -1.6794586 12.367371
2015-06-30-20 33 19.683	3.0517578E-5 -1.765152 12.374512
2015-06-30-20 33 19.688	-0.017822266 -1.8984528 12.315002
2015-06-30-20 33 19.694	-0.29989624 -2.1710052 12.184082
2015-06-30-20 33 19.698	-0.29989624 -2.1710052 12.184082
2015-06-30-20 33 19.703	-0.59625244 -2.3899994 12.057922
2015-06-30-20 33 19.708	-0.9711609 -2.605423 11.879395
2015-06-30-20 33 19.713	-1.3389282 -2.7458649 11.711578
2015-06-30-20 33 19.718	-1.5769653 -2.8351288 11.479492
2015-06-30-20 33 19.723	-1.8709412 -2.8732147 11.350952
2015-06-30-20 33 19.729	-2.107788 -2.7708588 11.408081
2015-06-30-20 33 19.733	-2.172058 -2.701828 11.598511
2015-06-30-20 33 19.739	-2.139923 -2.6339874 11.971039
2015-06-30-20 33 19.744	-1.831665 -2.4209442 13.099335
2015-06-30-20 33 19.749	-1.831665 -2.4209442 13.099335
2015-06-30-20 33 19.753	-1.5376892 -2.316208 13.963409
2015-06-30-20 33 19.758	-1.1413574 -2.3352509 14.784637
2015-06-30-20 33 19.764	-0.6581421 -2.3447723 15.63443
2015-06-30-20 33 19.769	-0.09637451 -2.3697662 16.4021
2015-06-30-20 33 19.773	0.4451599 -2.3435822 17.138824
2015-06-30-20 33 19.778	0.89505005 -2.4733124 17.666077
2015-06-30-20 33 19.784	1.542511 -2.7065887 17.94339
2015-06-30-20 33 19.789	1.542511 -2.7065887 17.94339
2015-06-30-20 33 19.794	1.53656 -2.7649078 17.150726
2015-06-30-20 33 19.799	1.1211853 -2.875595 16.66394
2015-06-30-20 33 19.804	0.66296387 -2.9279633 16.031952
2015-06-30-20 33 19.809	0.1583252 -3.016037 15.3237915
2015-06-30-20 33 19.814	-0.2868042 -2.9481964 14.504944
2015-06-30-20 33 19.819	-0.60458374 -2.8256073 13.593262
2015-06-30-20 33 19.824	-0.9866333 -2.624466 12.719666
2015-06-30-20 33 19.829	-1.2520447 -2.3661957 11.683014
2015-06-30-20 33 19.834	-1.587677 -2.0246124 10.572571
2015-06-30-20 33 19.839	-1.8780823 -1.7413483 9.597809
2015-06-30-20 33 19.846	-2.1601563 -1.412857 8.70636
2015-06-30-20 33 19.850	-2.473175 -1.0391388 8.180298
2015-06-30-20 33 19.854	-2.6743164 -0.8153839 7.3840637
2015-06-30-20 33 19.859	-2.940918 -0.53092957 6.634247
2015-06-30-20 33 19.864	-3.1087341 -0.27503967 6.341461
2015-06-30-20 33 19.870	-3.1325378 0.13200378 5.9189453
2015-06-30-20 33 19.874	-3.133728 0.44502258 5.524994
2015-06-30-20 33 19.879	-3.0408936 0.7735138 5.353607
2015-06-30-20 33 19.884	-2.9183044 1.050827 5.3226624
2015-06-30-20 33 19.890	-2.7266846 1.3340912 5.3119507
2015-06-30-20 33 19.894	-2.4612732 1.525711 5.494049
2015-06-30-20 33 19.899	-2.2732239 1.6054535 5.793976
2015-06-30-20 33 19.905	-1.9756775 1.698288 6.097473
2015-06-30-20 33 19.910	-1.7257385 1.7661285 6.3307495
2015-06-30-20 33 19.914	-1.4365234 1.7328033 6.736603
2015-06-30-20 33 19.919	-1.1782532 1.6935272 7.050812
2015-06-30-20 33 19.925	-0.90927124 1.7506561 7.2352905
2015-06-30-20 33 19.930	-0.7950134 1.756607 7.4673767
2015-06-30-20 33 19.935	-0.7640686 1.7280426 7.6256714
2015-06-30-20 33 19.940	-0.78430176 1.6851959 7.7482605
2015-06-30-20 33 19.945	-0.9116516 1.5721283 7.8184814
2015-06-30-20 33 19.950	-0.94854736 1.4852448 7.725647
2015-06-30-20 33 19.955	-1.1008911 1.4019318 7.7982483
2015-06-30-20 33 19.960	-1.1282654 1.3055267 7.5114136
2015-06-30-20 33 19.965	-1.1270752 1.2733917 7.3507385
2015-06-30-20 33 19.970	-1.1318359 1.2591095 7.1710205
2015-06-30-20 33 19.975	-1.0318604 1.3364716 6.9448853
2015-06-30-20 33 19.980	-0.9128418 1.3388519 6.6651917
2015-06-30-20 33 19.985	-0.7414551 1.3364716 6.455719
2015-06-30-20 33 19.991	-0.5653076 1.3233795 6.2676697
2015-06-30-20 33 19.996	-0.4355774 1.3340912 6.046295
2015-06-30-20 33 20.000	-0.24276733 1.3697968 5.94989
2015-06-30-20 33 20.005	-0.029724121 1.3305206 5.777313
2015-06-30-20 33 20.011	0.17855835 1.217453 5.7035217
2015-06-30-20 33 20.015	0.42373657 1.1389008 5.783264
2015-06-30-20 33 20.020	0.6355896 1.0639191 5.8296814
2015-06-30-20 33 20.026	0.9486084 0.9806061 5.8999023
2015-06-30-20 33 20.031	1.1925964 0.9294281 6.1581726
2015-06-30-20 33 20.035	1.4758606 0.8235016 6.4640503
2015-06-30-20 33 20.041	1.6817627 0.8080292 6.765167
2015-06-30-20 33 20.046	1.9126587 0.7294769 7.0817566
2015-06-30-20 33 20.051	2.0400085 0.608078 7.48999
2015-06-30-20 33 20.055	2.2875671 0.49977112 7.7232666
2015-06-30-20 33 20.061	2.3923035 0.42478943 7.9910583
2015-06-30-20 33 20.066	2.543457 0.4116974 8.310028
2015-06-30-20 33 20.071	2.7957764 0.41526794 8.565918
2015-06-30-20 33 20.076	3.0742798 0.43788147 8.733734
2015-06-30-20 33 20.081	3.376587 0.3950348 9.065796
2015-06-30-20 33 20.086	3.6241455 0.345047 9.427612
2015-06-30-20 33 20.091	3.8276672 0.20817566 9.812042
2015-06-30-20 33 20.096	3.9704895 0.0974884 10.1536255
2015-06-30-20 33 20.101	4.0478516 -0.16197205 10.56662
2015-06-30-20 33 20.106	4.0419006 -0.46665955 10.842743
2015-06-30-20 33 20.111	3.993103 -0.809433 11.105774
2015-06-30-20 33 20.116	4.089508 -1.1414948 11.218842
2015-06-30-20 33 20.121	4.1026 -1.4235687 11.459259
2015-06-30-20 33 20.126	4.147827 -1.611618 11.548523
2015-06-30-20 33 20.131	4.2073364 -1.7580109 11.612793
2015-06-30-20 33 20.136	4.2466125 -1.8187103 11.713959
2015-06-30-20 33 20.141	4.2668457 -1.8139496 11.854401
2015-06-30-20 33 20.148	4.3239746 -1.7151642 12.10434
2015-06-30-20 33 20.152	4.396576 -1.5997162 12.385223
2015-06-30-20 33 20.156	4.372772 -1.4783173 12.6232605
2015-06-30-20 33 20.161	4.3537292 -1.3426361 13.011261
2015-06-30-20 33 20.169	4.2073364 -1.2081451 13.236206
2015-06-30-20 33 20.172	4.160919 -1.1260223 13.533752
2015-06-30-20 33 20.176	3.9395447 -1.0926971 13.747986
2015-06-30-20 33 20.181	3.6443787 -1.0462799 13.890808
2015-06-30-20 33 20.188	3.2647095 -1.0653229 13.941986
2015-06-30-20 33 20.192	2.767212 -1.1462555 13.96936
2015-06-30-20 33 20.196	2.2851868 -1.2498016 13.931274
2015-06-30-20 33 20.201	1.8079224 -1.2759857 13.8420105
2015-06-30-20 33 20.207	1.3925476 -1.3247833 13.884857
2015-06-30-20 33 20.212	1.010498 -1.3343048 13.970551
2015-06-30-20 33 20.217	0.73913574 -1.2355194 14.124084
2015-06-30-20 33 20.222	0.49038696 -1.2343292 14.244293
2015-06-30-20 33 20.227	0.2654419 -1.155777 14.540649
2015-06-30-20 33 20.232	0.09524536 -1.1664886 14.697754
2015-06-30-20 33 20.237	-0.054718018 -1.0843658 14.93103
2015-06-30-20 33 20.242	-0.18087769 -1.0807953 15.0607605
2015-06-30-20 33 20.247	-0.2284851 -1.0819855 14.960785
2015-06-30-20 33 20.252	-0.25585938 -1.0831757 14.871521
2015-06-30-20 33 20.257	-0.17373657 -1.1093597 14.684662
2015-06-30-20 33 20.262	-0.11065674 -1.104599 14.495422
2015-06-30-20 33 20.267	-0.0725708 -1.2438507 14.28595
2015-06-30-20 33 20.272	0.06549072 -1.2533722 14.002686
2015-06-30-20 33 20.277	0.08572388 -1.412857 13.789642
2015-06-30-20 33 20.282	0.044067383 -1.4402313 13.364746
2015-06-30-20 33 20.287	0.07501221 -1.4723663 13.257629
2015-06-30-20 33 20.293	0.04525757 -1.5461578 13.035065
2015-06-30-20 33 20.298	-0.049957275 -1.6032867 12.791077
